gene	geneAlt	geneComb1	geneComb2	geneSys	set	order	essential
SSN8	CYCC	CYCC/SSN8	SSN8/CYCC	YNL025C	Cdk8	0	no
SSN2	MED13	MED13/SSN2	SSN2/MED13	YDR443C	Cdk8	1	no
SSN3	CDK8	CDK8/SSN3	SSN3/CDK8	YPL042C	Cdk8	2	no
SRB8	MED12	MED12/SRB8	SRB8/MED12	YCR081W	Cdk8	3	no
NUT2	MED10	MED10/NUT2	NUT2/MED10	YPR168W	Middle	4	yes
ROX3	MED19	MED19/ROX3	ROX3/MED19	YBL093C	Middle	5	no
MED1	MED1	MED1	MED1	YPR070W	Middle	6	no
MED4	MED4	MED4	MED4	YOR174W	Middle	7	yes
MED7	MED7	MED7	MED7	YOL135C	Middle	8	yes
CSE2	MED9	MED9/CSE2	CSE2/MED9	YNR010W	Middle	9	no
SRB7	MED21	MED21/SRB7	SRB7/MED21	YDR308C	Middle	10	yes
SOH1	MED31	MED31/SOH1	SOH1/MED31	YGL127C	Middle	11	no
RGR1	MED14	MED14/RGR1	RGR1/MED14	YLR071C	Middle	12	yes
MED2	MED2	MED2	MED2	YDL005C	Tail	13	no
PGD1	MED3	MED3/PGD1	PGD1/MED3	YGL025C	Tail	14	no
NUT1	MED5	MED5/NUT1	NUT1/MED5	YGL151W	Tail	15	no
GAL11	MED15	MED15/GAL11	GAL11/MED15	YOL051W	Tail	16	no
SIN4	MED16	MED16/SIN4	SIN4/MED16	YNL236W	Tail	17	no
MED6	MED6	MED6	MED6/MED6	YHR058C	Head	18	yes
SRB6	MED22	MED22/SRB6	SRB6/MED22	YBR253W	Head	19	yes
MED8	MED8	MED8	MED8	YBR193C	Head	20	yes
SRB4	MED17	MED17/SRB4	SRB4/MED17	YER022W	Head	21	yes
MED11	MED11	MED11	MED11	YMR112C	Head	22	yes
SRB5	MED18	MED18/SRB5	SRB5/MED18	YGR104C	Head	23	no
SRB2	MED20	MED20/SRB2	SRB2/MED20	YHR041C	Head	24	no
