gene	geneSys	set	comment
GPR1	YDL035C	Activators	NA
GPA2	YER020W	Activators	NA
CDC25	YLR310C	Activators	NA
RAS1	YOR101W	Activators	NA
RAS2	YNL098C	Activators	NA
CYR1	YJL005W	Activators	NA
TPK1	YJL164C	Activators	NA
TPK2	YPL203W	Activators	NA
TPK3	YKL166C	Activators	NA
IRA1	YBR140C	Inhibitors	NA
IRA2	YOL081W	Inhibitors	NA
RGS2	YOR107W	Inhibitors	NA
PDE1	YGL248W	Inhibitors	NA
PDE2	YOR360C	Inhibitors	NA
BCY1	YIL033C	Inhibitors	NA
GPB1	YOR371C	Inhibitors	NA
GPB2	YAL056W	Inhibitors	NA
MCK1	YNL307C	Inhibitors	NA
