pHS.ID,pHS.name,pHS.genes,pHS.targetf,pHS.strVar,pHS.medVar,pHS.BE.sig.prots,pHS.BE.sig.n,Max_FDR0.05_count,Candidates,ImpactVarInCand,Cat,Label,PlotLabel,pHS.sig.prots
1,NA,CYC3;CLN3;CDC24;YAL042C-A;ERV46;PTA1;GCV3;BOL1;YAL045C;BOL3;SPC72;YAL047W-A;GEM1;AIM2;OAF1;FLC2;ACS1;PEX22;YAL056C-A;GPB2;CNE1;YAL059C-A;ECM1;BDH1;BDH2;GDH3;FLO9;YAL063C-A;TDA8;YAL064W;YAL064W-B;YAL065C;YAL066W;SEO1;YAL067W-A;PAU8;YAL068W-A;YAL069W,0.31,ECM1;FLO9,CLN3;ERV46;PTA1;YAL045C;SPC72;GEM1;AIM2;OAF1;FLC2;ACS1;PEX22;YAL056C-A;GPB2;CNE1;YAL059C-A;ECM1;BDH1;BDH2;FLO9;YAL064W-B;YAL067W-A;YAL068W-A,RPL9A,1,1,NA,0,NA,NA,NA,RPL9A;SSA1;TDH1;TDH3
2,NA,PDR3;LDB7;YBL006W-A;SLA1;HIR1;YBL008W-A;ALK2;YBL010C;SCT1;YBL012C;FMT1;RRN6;ACH1;FUS3;PEP1;POP8;APN2;RFT1;HAP3;PIM1;MCM2;NCL1;RRN10;LSM2;RPL19B;YBL028C;YBL029C-A;YBL029W;PET9;SHE1;HEK2;RIB1;STU1;POL12;YBL036C;APL3;MRPL16;URA7;YBL039C-A;YBL039W-B;ERD2;PRE7;FUI1;ECM13;YBL044W;COR1;PSY4;EDE1;RRT1;MOH1;SEC17;PIN4;SAS3;YBL053W;TOD6;YBL055C;PTC3;PTH2;SHP1;CMC2;YBL059W;YEL1;SKT5;YBL062W;KIP1;PRX1;YBL065W;SEF1;UBP13;PRS4;YBL068W-A;AST1;YBL070C;YBL071C;YBL071C-B;KTI11;RPS8A,0.31,PEP1;POL12;YBL044W;RRT1,PDR3;LDB7;SLA1;HIR1;ALK2;YBL010C;SCT1;YBL012C;FMT1;RRN6;FUS3;PEP1;POP8;APN2;RFT1;PIM1;NCL1;RRN10;YBL029W;PET9;SHE1;HEK2;STU1;POL12;YBL036C;APL3;MRPL16;YBL039C-A;PRE7;FUI1;COR1;PSY4;EDE1;PIN4;SAS3;TOD6;YBL055C;SHP1;YEL1;SKT5;KIP1;UBP13;YBL071C-B,ENO2;FAS1;RPL9A;SSA1;TDH1;TDH2;YHB1,7,3,PRE7;RIB1;PET9,2,New,PRE7;RIB1;PET9,"PRE7
RIB1
PET9",RPL9A;TDH3
3,NA,NRG2;TIP1;BAP2;TAT1;ALG14;YBR071W;YBR072C-A;HSP26;RDH54;PFF1;YBR076C-A;ECM8;SLM4;ECM33;RPG1;SEC18;SPT7;UBC4;TEC1;RPL19A;MIS1,0.09,YBR072C-A;YBR076C-A,TIP1;BAP2;TAT1;ALG14;YBR071W;YBR072C-A;HSP26;RDH54;PFF1;YBR076C-A;ECM8;SLM4;ECM33;RPG1;SEC18;SPT7;TEC1;MIS1,FAS2;RPL9A;SSA1;TDH1;TDH2;TDH3;YHB1,7,3,SEC18;UBC4,1,New,SEC18;UBC4,"SEC18
UBC4",TDH1
4,NA,CYK3;YDL118W;HEM25;YFH1;YDL121C;UBP1;SNA4;YDL124W;HNT1;CDC48;PCL2;VCX1;YDL129W;RPP1B;STF1;LYS21;CDC53;RPL41B;SRF1;PPH21;RDI1;RPL35B;ARF2;RGT2;SCM3;RPO21;BPL1;CRD1;CCT4;YDL144C;COP1;LDB17,0.12,,CYK3;UBP1;YDL124W;HNT1;CDC48;PCL2;VCX1;YDL129W;CDC53;SRF1;RGT2;SCM3;RPO21;BPL1;CRD1;YDL144C;COP1;LDB17,HTB2;SSA1;YHB1,3,2,NA,0,NA,NA,NA,TDH1
5,NA,IRC22;WBP1;GIM4;YEA4;VAB2;YEA6;MIT1;YEL008C-A;YEL008W;MNN1;NOP16;PMI40;FMP52;YND1;YER006C-A;NUG1;TMA20;PAC2;SEC3;NTF2;YER010C;TIR1;PRE1;PRP22;BUD25;HEM14;FAA2;BIM1;AFG3;SPC25;SBH2;ISC1;GPA2;RPN3;SRB4;YER023C-A;PRO3;YAT2;GCD11;CHO1;GAL83;MIG3;SMB1;CHZ1;YPT31;FIR1;ZRG8;YER034W;EDC2;ARB1;PHM8;KRE29;FMP49;HVG1;YER039C-A;GLN3;YEN1;MXR1;SAH1;ERG28;MEI4;ACA1;SPO73,0.16,CHZ1,MIT1;MNN1;NOP16;FMP52;YER006C-A;NUG1;TMA20;PAC2;SEC3;TIR1;PRP22;BUD25;HEM14;FAA2;AFG3;SPC25;ISC1;GPA2;RPN3;SRB4;PRO3;YAT2;CHO1;GAL83;MIG3;CHZ1;YPT31;FIR1;ZRG8;YER034W;KRE29;GLN3;YEN1;MEI4;ACA1;SPO73,ENO2;FAS1;HTB2;RNR2;RPL9A;SSA1;TDH1;TDH2;TDH3;YHB1,10,9,ARB1;SAH1,0,New,ARB1;SAH1,"ARB1
SAH1",RPL9A;TDH1
6,NA,UBP9;PRS2;UBC6;AST2;RPS8B;SSA4;RTT105;NUP157;MAM1;GLE2;YER107W-A;KAP123;SWI4;LSM4;TMN3;BOI2;SPR6;SLX8;RPL23B;SHO1;AVT6;YER119C-A;SCS2;YER121W;GLO3;YCK3;DSE1;RSP5;NSA2;LCP5;VFA1;SAK1;COM2;RPS26B;PMD1;GLC7,0.16,YER119C-A,UBP9;UBC6;AST2;RPS8B;SSA4;NUP157;MAM1;SWI4;LSM4;TMN3;BOI2;SPR6;SHO1;AVT6;YER119C-A;YER121W;GLO3;YCK3;DSE1;RSP5;LCP5;SAK1;COM2;PMD1,HTB2;RNR2;RPL9A;SSA1,4,2,NA,0,NA,NA,NA,NA
7,NA,SUA5;SPO74;ROK1;NUP49;XRN1;BUD13;SAE2;YGL176C;YGL177W;MPT5;TOS3;ATG1;GTS1;YGL182C;MND1;STR3;YGL185C;TPN1;COX4;YGL188C;YGL188C-A;RPS26A;CDC55;COX13;IME4;YGL193C;HOS2;YGL194C-A;GCN1;DSD1;MDS3;YIP4;YGL199C;EMP24;MCM6;ARO8;KEX1;YGL204C;POX1;CHC1;SPT16;SIP2;MIG2;YPT32;NCS6;VAM7,0.15,YGL177W;YGL193C,SUA5;SPO74;ROK1;NUP49;XRN1;BUD13;SAE2;YGL176C;YGL177W;MPT5;TOS3;GTS1;YGL185C;CDC55;IME4;HOS2;YGL194C-A;GCN1;DSD1;MDS3;MCM6;ARO8;KEX1;YGL204C;POX1;CHC1;SPT16;SIP2;MIG2;NCS6;VAM7,ENO2;FAS1;HTB2;RNR2;RPL9A;SSA1;TDH1;TDH2;TDH3;YHB1,10,7,ROK1;SUA5,2,New,ROK1;SUA5,"ROK1
SUA5",TDH1
8,NA,ERG26;ERP6;CDH1;RPN14;COG7;PMC1;YGL006W-A;YGL007C-A;BRP1;PMA1;LEU1;MPO1;SCL1;ERG4;PDR1;YGL014C-A;PUF4;YGL015C;KAP122;ATE1;JAC1;CKB1;GET1;ALK1;EFM5;SWC4;CUL3;PEX31;TFG2;PRP18;ECT1;STF2;SEC9;NMA2;YGR011W;MCY1;SNU71;MSB2;YGR015C;YGR016W;YGR017W;YGR018C;UGA1;VMA7;YGR021W;YGR022C;MTL1;THG1;YGR025W;YGR026W;RPS25A;MSP1;ERV1;POP6;NAG1;IMO32;GSC2;TIM21;RPL26B;YGR035C;YGR035W-A;CAX4;ACB1;ORM1;YGR039W;KSS1,0.16,YGL006W-A;POP6;YGR035W-A,ERP6;CDH1;RPN14;COG7;PMC1;BRP1;PMA1;LEU1;MPO1;ERG4;PDR1;YGL014C-A;PUF4;KAP122;ATE1;JAC1;ALK1;SWC4;CUL3;PEX31;PRP18;ECT1;STF2;SEC9;NMA2;SNU71;MSB2;YGR017W;UGA1;YGR022C;MTL1;YGR025W;YGR026W;POP6;IMO32;GSC2;TIM21;YGR039W,FAS1;FAS2;HTB2;RPL9A;SSA1;TDH2;YHB1,7,5,TFG2;ERV1,0,New,TFG2;ERV1,"TFG2
ERV1",TDH1
9,NA,RPL14B;YHL002C-A;HSE1;LAG1;MRP4;YHL005C;SHU1;YHL006W-A;STE20;YHL008C;YAP3;ETP1;PRS3;YHL012W;OTU2;YLF2;RPS20;YHL015W-A;DUR3;YHL017W;YHL018W;APM2;OSH7;QCR10;LEU5;TCD1;NEM1;GPA1;TIM10;STP2;ERG11;YHR007C-A;SOD2;TDA3;RPL27A;DIA4;VPS29;ARD1;SPO13;MIP6;YSC84;YSC83;ARG4;DED81;YHR020W;RPS27B;ECM12;YHR022C;YHR022C-A;MYO1;MAS2;THR1;VMA16;RPN1;DAP2;YHR028W-A;YHI9;SLT2;RRM3;YHR032C-A;ERC1;YHR032W-A;YHR033W;PIH1;NEL1;BRL1;PUT2;RRF1;MSC7;VMA10;BCD1;SRB2,0.19,YHL008C;YHR022C;YHR028W-A;ERC1,HSE1;LAG1;SHU1;YHL006W-A;STE20;YHL008C;YAP3;ETP1;YHL012W;YHL015W-A;YHL017W;APM2;LEU5;NEM1;GPA1;STP2;TDA3;DIA4;VPS29;ARD1;SPO13;MIP6;YSC83;YHR020W;ECM12;YHR022C;MYO1;THR1;RPN1;DAP2;YHR028W-A;YHI9;SLT2;RRM3;ERC1;YHR033W;PIH1;NEL1;BRL1;PUT2;RRF1;SRB2,ENO2;FAS1;FAS2;HTB2;RNR2;RPL9A;SSA1;TDH2;YHB1,9,6,MAS2,0,New,MAS2,MAS2,SSA1;YHB1
10,NA,KEL1;TDA11;PEX18;YAP1801;MPC2;SOL3;DNA2;PRP8;YHR165W-A;CDC23;THP2;MTG2;DBP8;NMD3;ATG7;SPC97;YHR173C;ENO2,0.08,YHR173C,KEL1;PEX18;YAP1801;MPC2;DNA2;PRP8;YHR165W-A;THP2;MTG2;DBP8;ATG7;SPC97;YHR173C,ENO2;FAS1;HTB2;RPL9A;SSA1;TDH2,6,4,PRP8;DBP8,2,New,PRP8;DBP8,"PRP8
DBP8",NA
