eHS.ID,eHS.name,eHS.genes,eHS.targetn,eHS.strVar,eHS.medVar,eHS.BE.sig.prots,eHS.BE.sig.n,Max_FDR0.05_count,Candidates,ImpactVarInCand,Cat,Label,PlotLabel,eHS.sig.prots
1,OAF1,FLC2;OAF1,424,NA,FLC2;OAF1,NA,0,NA,NA,0,Known,OAF1,OAF1,FAS1;FAS2
2,NA,FUN26;CCR4;ATS1;YAL019W-A;FUN30,148,NA,CCR4;FUN30,NA,0,NA,NA,0,NA,NA,NA,HTB2
3,NA,ERP2;TRN1;SSA1;YAL004W;EFB1;SNR18;VPS8;TFC3;NUP60;ERP1;SWD1;RFA1;SEN34;YAR009C;YAR010C;TGA1;BUD14,222,NA,ERP2;SSA1;EFB1;VPS8;TFC3;NUP60;ERP1;RFA1;SEN34;BUD14,ENO2;FAS1;RPL9A,3,3,SEN34,1,New,SEN34,SEN34,ENO2;HTB2
4,NA,SUP56;tS(AGA)A;UIP3;YAR028W;YAR029W;YAR030C;PRM9;MST28,30,PRM9,UIP3;PRM9;MST28,NA,0,NA,NA,0,NA,NA,NA,NA
5,NA,SRO77;PKC1;SEA4,16,NA,SRO77;PKC1;SEA4,FAS1;HTB2;RNR2;RPL9A;TDH2,5,5,PKC1,1,New,PKC1,PKC1,NA
6,NA,SAS3;PIN4;SEC17;MOH1,87,NA,SAS3;PIN4,NA,0,NA,NA,0,NA,NA,NA,NA
7,NA,FUS3;ACH1;tI(AAU)B;tG(GCC)B,61,NA,FUS3,YHB1,1,1,NA,0,NA,NA,NA,NA
8,NA,NRG2;TIP1,185,NA,TIP1,NA,0,NA,NA,0,NA,NA,NA,NA
9,NA,CYC8;YBR113W;RAD16,194,NA,CYC8;RAD16,TDH1,1,1,NA,0,NA,NA,NA,RNR2
10,NA,ARA1;TBS1,206,TBS1,ARA1;TBS1,NA,0,NA,NA,0,NA,NA,NA,YHB1
11,NA,YBR184W;MBA1;PCH2;GDT1;NTC20;RPS9B;YBR190W;RPL21A;YBR191W-A;RIM2;MED8;AIM4;MSI1;PGI1;YBR196C-A;YBR196C-B;YBR197C;TAF5;KTR4;BEM1,206,NA,PCH2;GDT1;NTC20;RPS9B;MED8;AIM4;MSI1;KTR4,ENO2;RPL9A;SSA1;TDH2;YHB1,5,2,NA,0,NA,NA,NA,NA
12,NA,ADP1;PGK1;YCR013C;POL4;YCR015C;SNR33;SUF16;YCR016W;CWH43;SRD1;tM(CAU)C;tK(CUU)C;YCR018C-A;MAK32,35,SRD1,ADP1;POL4;CWH43;SRD1,ENO2;RPL9A;TDH2,3,2,NA,0,NA,NA,NA,NA
13,NA,NPP1;RHB1;tQ(UUG)C;FEN2;RIM1;SYP1,41,NA,NPP1;RHB1;SYP1,NA,0,NA,NA,0,NA,NA,NA,NA
14,NA,PHO87;BUD5;YCR038W-A;MATALPHA2;MATALPHA1;YCR041W;TAF2,83,NA,PHO87;BUD5;TAF2,HTB2;YHB1,2,2,NA,0,NA,NA,NA,NA
15,NA,SRB8;YCR081C-A;AHC2;TRX3;TUP1;YCR085W;CSM1;YCR087W;YCR087C-A;ABP1,39,NA,SRB8;TUP1;ABP1,HTB2;RNR2;RPL9A;TDH1;TDH2,5,4,SRB8,1,New,SRB8,SRB8,RNR2;TDH2
16,NA,SSB1;YDL228C;HO;GCS1;SHS1,63,NA,GCS1;SHS1,NA,0,NA,NA,0,NA,NA,NA,NA
17,NA,YDL177C;YDL176W;AIR2;DLD1;PAR32;YDL172C;GLT1;UGA3;UGX2;SFA1;NRP1,415,NA,PAR32;GLT1;UGA3;UGX2;SFA1;NRP1,NA,0,NA,NA,0,NA,NA,NA,HTB2;YHB1
18,RGT2,RGT2;ARF2;RPL35B,870,NA,RGT2,HTB2;SSA1,2,2,NA,0,Known,RGT2,RGT2,ENO2;HTB2;RNR2;TDH2;YHB1
19,NA,GPM2;RPN4;OSH2;ERP3;CDC7;YDL016C;TSC13;NOP1;SLX5;YDL012C;YDL011C;GRX6;YDL009C;APC11;tT(AGU)D;YDL007C-A;tS(AGA)D1;RPT2;PTC1;MED2;ATP16;MCD1;NHP10;RMD1;NTH1;YRB1;RCR2;YDR003W-A;RAD57;MAF1;SOK1;TRP1;YDR008C;GAL3,1020,NA,RPN4;OSH2;CDC7;TSC13;GRX6;APC11;MED2;MCD1;RAD57;TRP1;GAL3,ENO2;FAS1;HTB2;RPL9A;TDH2;TDH3;YHB1,7,6,NOP1,0,New,NOP1,NOP1,RNR2;RPL9A;TDH1;YHB1
20,NA,MRH1;LYS14,830,NA,LYS14,NA,0,NA,NA,0,NA,NA,NA,RNR2;YHB1
21,GIS,GIS1,1002,NA,GIS1,NA,0,NA,NA,0,Known,GIS,GIS,RNR2;YHB1;YHB1
22,NA,ALT2;PDS1;YDR114C;YDR115W;MRPL1;TMA64,1121,NA,ALT2;PDS1,NA,0,NA,NA,0,NA,NA,NA,RNR2;YHB1
23,NA,VPS61;RGP1;HPR1;RUB1;MTQ2;DOP1;PEX7;SAN1;MKC7;TAF12;SWI5;EKI1;KGD2;YDR149C;NUM1,810,VPS61,RGP1;HPR1;PEX7;SAN1;MKC7;TAF12;SWI5;EKI1;NUM1,RPL9A,1,1,NA,0,NA,NA,NA,YHB1
24,NA,CTA1;RKM4;HSP78;YAP6,682,NA,HSP78;YAP6,NA,0,NA,NA,0,NA,NA,NA,YHB1;YHB1
25,NA,YPS7;EMT1;ATP22;SBE2;YPQ2,388,NA,YPS7;SBE2,RPL9A,1,1,NA,0,NA,NA,NA,NA
26,NA,UTP6;RPS18A;YHP1;PPN1;TSA2;GUK1;NHX1,346,NA,YHP1;PPN1;TSA2;NHX1,NA,0,NA,NA,0,NA,NA,NA,NA
27,NA,YDR541C,16,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
28,NA,RMD6,7,NA,RMD6,NA,0,NA,NA,0,NA,NA,NA,NA
29,NA,tR(UCU)E;GCN4;YEL008W;YEL008C-A;MIT1;YEA6;VAB2;YEA4;GIM4;WBP1;IRC22;MNN1;NOP16;PMI40;FMP52;YND1;NUG1;YER006C-A;PAC2;TMA20;SNR14;SEC3;NTF2;YER010C;TIR1;tE(UUC)E1;PRE1;PRP22;HEM14;BUD25;FAA2;BIM1;AFG3;SPC25;ISC1;SBH2;GPA2;RPN3,283,NA,GCN4;MIT1;MNN1;NOP16;FMP52;NUG1;PAC2;TMA20;SEC3;TIR1;PRP22;HEM14;BUD25;FAA2;AFG3;SPC25;ISC1;GPA2;RPN3,RPL9A;SSA1;TDH1;TDH2;YHB1,5,2,NA,0,NA,NA,NA,NA
30,NA,SAK1;COM2;RPS26B;SNR4,38,NA,SAK1;COM2,NA,0,NA,NA,0,NA,NA,NA,NA
31,NA,GCG1;CHD1;PAB1;YER165C-A;DNF1;BCK2;CCA1;RPH1;ADK2;RAD3,39,ADK2,CHD1;DNF1;BCK2;RPH1;ADK2;RAD3,FAS1;HTB2;YHB1,3,2,NA,0,NA,NA,NA,NA
32,NA,YFL042C;YFL041W-A;FET5;YFL040W;ACT1;YPT1;TUB2;RUF21;RPO41;MOB2;RPL22B;YFL034W;RIM15,145,NA,FET5;TUB2;RPO41;RIM15,NA,0,NA,NA,0,NA,NA,NA,NA
33,NA,FRS2;YFL021C-A;GAT1,176,GAT1,FRS2;GAT1,FAS1;RPL9A,2,2,NA,0,NA,NA,NA,HTB2
34,NA,VTC2;MSH4;tN(GUU)F;YFL002W-A;YFL002W-B;SPB4;DEG1;LOC1;NIC96;YPI1;RPN11;SAD1;YFR006W;tF(GAA)F;YFH7;FAR7,206,NA,VTC2;MSH4;SPB4;DEG1;NIC96;SAD1;YFH7;FAR7,RNR2;RPL9A;TDH3;YHB1,4,3,SPB4,1,New,SPB4,SPB4,HTB2
35,NA,tK(CUU)F;YFR036W-A;RSC8;IRC5;OSW7;SAP155;ERJ5;KEG1;IRC6;DUG1,48,OSW7,RSC8;IRC5;OSW7;SAP155;ERJ5;KEG1;IRC6;DUG1,ENO2;HTB2;RNR2;RPL9A;TDH2;TDH3;YHB1,7,7,SAP155,1,New,SAP155,SAP155,NA
36,NA,MCM6;tK(CUU)G1;EMP24;YIP4,2421,NA,MCM6,NA,0,NA,NA,0,NA,NA,NA,ENO2;HTB2;TDH2
37,NA,YGL194C-A;HOS2;YGL193C;IME4,2759,NA,HOS2;IME4,NA,0,NA,NA,0,NA,NA,NA,ENO2;FAS1;FAS2;HTB2;RNR2;SSA1;TDH2
38,NA,SAE2;BUD13;XRN1;NUP49;ROK1;SPO74;tK(CUU)G2;SUA5;HUR1;PMR1;CUP2;YGL165C;YRB30;RAD54;SUT1;YIP5;AIM14;YGL159W;tL(CAA)G1,1669,NA,SAE2;BUD13;XRN1;NUP49;ROK1;SPO74;SUA5;HUR1;PMR1;CUP2;YRB30;RAD54;SUT1;YIP5;AIM14,ENO2;FAS1;HTB2;RNR2;RPL9A;SSA1;TDH2;TDH3;YHB1,8,7,ROK1;SUA5;PMR1,3,New,ROK1;SUA5;PMR1,"ROK1
SUA5
PMR1",FAS1;FAS2;RNR2;SSA1;TDH1
39,NA,YGL072C;AFT1,896,NA,AFT1,NA,0,NA,NA,0,NA,NA,NA,YHB1
40,OLE1,SDS23;OLE1,819,NA,SDS23;OLE1,FAS1;HTB2;RPL9A;YHB1,4,4,OLE1,1,Both,OLE1,OLE1,FAS1;FAS2;TDH2;YHB1
41,NA,PUF4;PDR1;ERG4,812,NA,PUF4;PDR1;ERG4,RPL9A;TDH2;YHB1,3,2,NA,0,NA,NA,NA,TDH1
42,NA,PDC6;CTT1;NNF2,376,NA,PDC6;CTT1;NNF2,NA,0,NA,NA,0,NA,NA,NA,NA
43,NA,ATF2;PBP1;OKP1;RNR4;tL(CAA)G3;TIM13;YGR182C;QCR9;UBR1;TYS1;TFG1;HGH1;BUB1;tK(CUU)G3;CRH1,334,NA,ATF2;PBP1;OKP1;RNR4;UBR1;TYS1;TFG1;HGH1;BUB1;CRH1,ENO2;FAS1;FAS2,3,3,TYS1,1,New,TYS1,TYS1,NA
