protein	geneSys	gene	log2fc	q	interaction	intcountnode	intcountedge	intcountrev
Rpl9A	YAL054C	ACS1	-0.6632385352028155	0.03161307766378437	cr	1	1	10
Eno2	YAL038W	CDC19	0.8969868179041977	0.0014185967466907893	cr	6	6	5
Rpl9A	YAL038W	CDC19	0.48184680480021513	0.0230471575930644	cr	6	6	5
Ssa1	YAL038W	CDC19	1.433771536027335	4.7696230856843387e-4	cr	6	6	5
Tdh1	YAL038W	CDC19	3.109645909114145	4.412043822262044e-41	cr	6	6	5
Tdh2	YAL038W	CDC19	2.3499568644608475	4.6016915814513085e-38	cr	6	6	5
Tdh3	YAL038W	CDC19	0.8485447833755472	0.0086950522607119	cr	6	6	5
Eno2	YAL035W	FUN12	-1.4344201504311034	4.614585945658003e-12	cr	8	8	3
Fas1	YAL035W	FUN12	-1.3043669961427389	2.576471564340311e-6	cr	8	8	3
Rnr2	YAL035W	FUN12	-1.1526152341438987	4.6541478196059926e-5	cr	8	8	3
Rpl9A	YAL035W	FUN12	-0.794108779448097	0.010436654509747009	cr	8	8	3
Ssa1	YAL035W	FUN12	-1.445859380456097	4.848179953852075e-6	cr	8	8	3
Tdh2	YAL035W	FUN12	-2.0375390102273623	8.36111828798444e-12	cr	8	8	3
Tdh3	YAL035W	FUN12	-0.945853854803209	0.013580643204364085	cr	8	8	3
Yhb1	YAL035W	FUN12	-1.1550081980428564	2.454126577278842e-4	cr	8	8	3
Rnr2	YAL025C	MAK16	-0.743973496642853	0.037790015989659406	cr	5	5	6
Rpl9A	YAL025C	MAK16	-0.8258101669920976	0.0027585431946606323	cr	5	5	6
Ssa1	YAL025C	MAK16	-1.2825671523088682	2.594695721375395e-4	cr	5	5	6
Tdh2	YAL025C	MAK16	-1.0282405680098705	4.99177886725545e-4	cr	5	5	6
Yhb1	YAL025C	MAK16	-0.723793063639839	0.03153327130247871	cr	5	5	6
Fas1	YAL016W	TPD3	1.3813513929471166	0.0018444050767049533	cr	2	2	9
