gene,protein,r1,r2,p1,p2,Class.pr
ACS1,ENO2,-0.16686379,-0.167841982575844,0.999751,0.999751,No effect
ACS1,FAS1,-0.041087558,-0.0398227046870991,0.999751,0.999751,No effect
ACS1,FAS2,-0.080432613,-0.0801828012046544,0.999751,0.999751,No effect
ACS1,HTB2,-0.0071445752,-0.0067508395337835,0.999751,0.999751,No effect
ACS1,RNR2,-0.024346338,-0.0266061151873398,0.999751,0.999751,No effect
ACS1,SSA1,0.084581365,0.0834725981851547,0.999751,0.999751,No effect
ACS1,TDH1,0.078992317,0.0778077108264996,0.999751,0.999751,No effect
ACS1,TDH2,-0.15546972,-0.156887873508701,0.999751,0.999751,No effect
ACS1,TDH3,-0.024805659,-0.0269207127935325,0.999751,0.999751,No effect
ACS1,YHB1,-0.048206334000000003,-0.0438685808874057,0.999751,0.999751,No effect
FLC2,ENO2,0.06790025,0.0499811711089339,0.999211,0.999211,No effect
FLC2,FAS1,-3.4773141e-4,0.0228225596556328,0.999211,0.999211,No effect
FLC2,FAS2,-0.057881152,-0.0533049597662234,0.999211,0.999211,No effect
FLC2,HTB2,-0.12391964,-0.116706973439682,0.969566,0.969566,No effect
FLC2,RNR2,-0.06877535,-0.110171212835311,0.999211,0.999211,No effect
FLC2,SSA1,-0.034251910000000003,-0.0545629208557695,0.999211,0.999211,No effect
FLC2,TDH1,-0.13649442,-0.158194698658805,0.999211,0.999211,No effect
FLC2,TDH2,-0.31450652,-0.340485049411886,0.969566,0.969566,No effect
FLC2,TDH3,-0.16508819,-0.203832928736584,0.999211,0.999211,No effect
FLC2,YHB1,0.11099124,0.190452628436166,0.999211,0.999211,No effect
OAF1,ENO2,0.068175498,0.0518549251755489,0.999461,0.999461,No effect
OAF1,FAS1,0.13606011,0.157163450093976,0.999461,0.999461,No effect
OAF1,FAS2,0.094763047,0.098931011160662,0.999461,0.999461,No effect
OAF1,HTB2,-0.022772839,-0.0162035923008941,0.999461,0.999461,No effect
OAF1,RNR2,-0.045428452,-0.0831315168808356,0.999461,0.999461,No effect
OAF1,SSA1,-0.1478589,-0.166358027875098,0.999461,0.999461,No effect
OAF1,TDH1,-0.12802549,-0.147789953358576,0.999461,0.999461,No effect
OAF1,TDH2,0.18865412,0.164993055515808,0.999461,0.999461,No effect
OAF1,TDH3,0.17006606,0.13477762056855,0.999461,0.999461,No effect
OAF1,YHB1,0.058399626,0.130772507697118,0.999461,0.999461,No effect
CYC3,ENO2,-0.0016340558,-0.0155525444047661,0.998126,0.998126,No effect
CYC3,FAS1,-0.055583799,-0.0375864776094305,0.881519,0.881519,No effect
CYC3,FAS2,-0.085069683,-0.0815151655534835,0.74742,0.74742,No effect
CYC3,HTB2,0.093749458,0.099351833908802,0.705989,0.705989,No effect
CYC3,RNR2,-0.0276779,-0.0598317757868754,0.950469,0.950469,No effect
CYC3,SSA1,-0.1824455,-0.198221900718122,0.761392,0.761392,No effect
CYC3,TDH1,0.09366834,0.0768128376201675,0.91538,0.91538,No effect
CYC3,TDH2,0.24488706,0.224708463622901,0.699841,0.699841,No effect
CYC3,TDH3,-0.02010197,-0.0501966082416844,0.996939,0.996939,No effect
CYC3,YHB1,0.097934355,0.159655296143175,0.892589,0.892589,No effect
LTE1,ENO2,0.024575001,0.0281779012155534,0.999893,0.999893,No effect
LTE1,FAS1,0.016567633,0.0119088977098041,0.999893,0.999893,No effect
LTE1,FAS2,-0.062411538,-0.0633316502493918,0.999893,0.999893,No effect
LTE1,HTB2,0.021081688,0.0196314729491672,0.999893,0.999893,No effect
LTE1,RNR2,0.039475334,0.0477985945894,0.999893,0.999893,No effect
LTE1,SSA1,0.080780441,0.0848642750985732,0.999893,0.999893,No effect
LTE1,TDH1,-0.041363677,-0.037000509722671,0.999893,0.999893,No effect
LTE1,TDH2,0.016952661,0.0221760349126239,0.999893,0.999893,No effect
LTE1,TDH3,0.19660704,0.204397252231009,0.999893,0.999893,No effect
LTE1,YHB1,0.027649495,0.0116725881921634,0.999893,0.999893,No effect
CCR4,ENO2,0.1125667,-0.0706837199423401,0.634049,0.634049,No effect
CCR4,FAS1,0.33437377,0.571325988283257,1.54796e-5,1.54796e-5,Study 2 only
CCR4,FAS2,0.13003467,0.176833344958372,0.0898615,0.0898615,No effect
CCR4,HTB2,0.19137314,0.2651338608561,0.0430845,0.0430845,No effect
