gene,protein,r1,r2,p1,p2,Class.pr
OAF1,ENO2,0.068175498,0.134723886851849,0.999461,0.62774455870712,No effect
OAF1,FAS1,0.13606011,-0.0342315727694026,0.999461,0.955356355459764,No effect
OAF1,FAS2,0.094763047,-0.0832303347240918,0.999461,0.830225600520728,No effect
OAF1,HTB2,-0.022772839,0.141102491602125,0.999461,0.76732338709507,No effect
OAF1,RNR2,-0.045428452,0.0802049747667268,0.999461,0.721916688259558,No effect
OAF1,SSA1,-0.1478589,-0.276118679708768,0.999461,0.298954937562989,No effect
OAF1,TDH1,-0.12802549,-0.183574922472368,0.999461,0.479943024824563,No effect
OAF1,TDH2,0.18865412,-0.0215592836855819,0.999461,0.972253659175865,No effect
OAF1,TDH3,0.17006606,-0.026293860965209,0.999461,0.961126540136957,No effect
OAF1,YHB1,0.058399626,-0.0391112636029484,0.999461,0.954184132091624,No effect
SWI3,ENO2,-0.40209798,-0.127967573301845,0.00243725,0.656643913003682,No effect
SWI3,FAS1,-0.17258092,-0.184864981525686,0.00503574,0.656372264909799,No effect
SWI3,FAS2,-0.0082178687,3.19689360643375,0.908152,3.22959497086681e-60,Study 2 only
SWI3,HTB2,0.10430982,-0.256742374731041,0.0841699,0.504557393688281,No effect
SWI3,RNR2,-0.0091177299,-0.897197134547366,0.900636,4.51672765928085e-17,Study 2 only
SWI3,SSA1,0.33817907,0.0174558636345195,0.00849508,0.974149065713372,No effect
SWI3,TDH1,-0.30322805,-0.252746018189751,0.0270754,0.26892743883753,No effect
SWI3,TDH2,-0.26136704,0.527368655579457,0.0944706,0.0383127166061442,Study 2 only
SWI3,TDH3,-0.090498759,-3.36184488896691,0.600228,2.11773978790992e-56,Study 2 only
SWI3,YHB1,-2.0103436,-1.27281571849744,0,6.39432057724289e-8,Consistent
SET2,ENO2,0.014026721,0.341882881000036,0.970347,0.0624599920772108,No effect
SET2,FAS1,0.053166957,0.130609737827794,0.638016,0.776829947776736,No effect
