gene,protein,r1,r2,p1,p2,Class.pr
TOR1,ENO2,-0.085813612,-0.102141269752792,0.99888,0.248580900589688,No effect
TOR1,FAS1,0.075724293,-0.0521980366708661,0.99888,0.279765001379785,No effect
TOR1,FAS2,0.14954553,-0.0446864008841601,0.553967,0.278280765399393,No effect
TOR1,RNR2,0.0021480157,0.0264469385276342,0.99888,0.814896895840373,No effect
TOR1,SSA1,-0.051799874,0.382675637915469,0.99888,0.0710341429943427,No effect
TOR1,TDH1,-0.038718959,-0.109981801219057,0.99888,0.363365077567393,No effect
TOR1,TDH2,-0.0048570649,-0.174078071038473,0.99888,0.473005562898573,No effect
TOR1,TDH3,0.052763657,-0.0809589833598565,0.99888,0.424496906325186,No effect
TOR1,YHB1,0.46371661,-0.0801860156643102,0.00755948,0.317997319232333,No effect
YNK1,ENO2,0.066564556,0.0265072326336693,0.996056,0.658220696504433,No effect
YNK1,FAS1,0.039517446,0.00697933572033094,0.996056,0.733934384769284,No effect
YNK1,FAS2,0.06587557,0.042176474805494,0.996056,0.336857955641143,No effect
YNK1,RNR2,0.13012695,0.0758423905145555,0.996056,0.645001523430149,No effect
YNK1,SSA1,0.2376249,-0.0017091509483933,0.996056,0.988432172069591,No effect
YNK1,TDH1,-0.095612246,0.109401762750764,0.996056,0.437007668273197,No effect
YNK1,TDH2,-0.20760605,0.132026927389049,0.996056,0.667616579374662,No effect
YNK1,TDH3,-0.18003759,0.0346793296755692,0.996056,0.752586147150617,No effect
YNK1,YHB1,0.22674279,-0.036248624048433,0.996056,0.731114456198879,No effect
CAF4,ENO2,-0.066120727,-0.0818852353471939,0.970317,0.159505196182073,No effect
CAF4,FAS1,-0.03880936,-0.0741274526949454,0.929488,0.192005731291607,No effect
CAF4,FAS2,0.0074538714,-0.0921982541926241,0.991521,0.100328095923759,No effect
CAF4,RNR2,0.0088597414,-0.0884447316771606,0.984749,0.314468528573345,No effect
CAF4,SSA1,-0.15480625,0.435910940096022,0.859379,0.00595910365678307,No effect
CAF4,TDH1,0.01829233,0.309511338630575,0.994688,0.464834017283506,No effect
CAF4,TDH2,-0.1138073,-0.0542095223946433,0.929381,0.67065801844397,No effect
CAF4,TDH3,-0.038019653,0.0542656240578765,0.981568,0.303957410243001,No effect
CAF4,YHB1,0.13777892,-0.200222361170056,0.750678,0.223202445508937,No effect
PUF3,ENO2,-0.069223308,-0.142307747454019,0.873161,0.10980611731974,No effect
PUF3,FAS1,0.069330963,0.0110330064518038,0.611752,0.763708226861051,No effect
PUF3,FAS2,0.16993783,0.0433966543563713,0.0166279,0.526169560805447,No effect
PUF3,RNR2,-0.0074592285,0.0512397092571604,0.969982,0.72323150592378,No effect
PUF3,SSA1,0.0087880465,-0.254710653573973,0.9824,0.11329080111099,No effect
PUF3,TDH1,0.020882627,0.32342855393189,0.964503,0.151835679105442,No effect
PUF3,TDH2,0.11264676,-0.053362206504687,0.781642,0.824040996127534,No effect
PUF3,TDH3,-0.10690189,-0.0582797601476415,0.799952,0.544908809381611,No effect
PUF3,YHB1,0.38908216,-0.0236004064854356,0.00550594,0.808299492708557,No effect
ACO1,ENO2,0.42359968,-0.171735736219063,0.00118818,0.0744557558083482,No effect
ACO1,FAS1,-0.63562031,-0.0399625324298647,8.89368e-26,0.302927635461875,Study 1 only
ACO1,FAS2,-0.46220299,-0.100236009767869,4.84661e-17,0.626558911546335,No effect
ACO1,RNR2,1.2909375,-0.0398284390956292,0,0.714893736317797,Study 1 only
