geneSys,gene,essential,T00h_log2fc,T08h_log2fc,T24h_log2fc
YAL001C,TFC3,TRUE,-1.268636291061226,-1.9857148535668259,-2.2791354550660867
YAL002W,VPS8,FALSE,-0.3610457521228682,-0.5008388232541781,0.38365056380040274
YAL003W,EFB1,TRUE,-0.6545165342255327,-2.0927852454690394,-1.7334858609189034
YAL007C,ERP2,FALSE,-0.16570393373672587,-0.04617899651307805,0.23342896223070042
YAL009W,SPO7,FALSE,-0.0876283532035824,0.05573479106083529,0.36156778872412865
YAL010C,MDM10,FALSE,0.2631796388338438,-0.06931770499876505,-0.10776828119808937
YAL011W,SWC3,FALSE,-0.29862408927178474,0.1987375864857033,-0.32706113446123347
YAL012W,CYS3,FALSE,0.2272111930652206,-0.5738499215008656,-1.248539179265827
YAL014C,SYN8,FALSE,0.08753866359849305,-0.083494713471469445,0.24670340694781145
YAL015C,NTG1,FALSE,0.11428704228320133,0.005324909785249972,-0.3736669747499477
YAL016W,TPD3,FALSE,-1.4534830249460147,-2.3502607404932068,-1.7175141259992521
YAL017W,PSK1,FALSE,-0.6174670639731596,-0.7655569246500353,-0.7279047485890577
YAL018C,LDS1,FALSE,0.2439843142310581,-0.023155218801427027,-0.29485115680631124
YAL019W,FUN30,FALSE,0.5144889089300477,0.4018901112994225,-1.3365809732897145
YAL019W-A,YAL019W-A,FALSE,0.12316820602518556,0.010425988442060045,0.20017852448956067
YAL020C,ATS1,FALSE,-0.14959153797173036,-0.27691184232441957,-0.44067210807789325
YAL021C,CCR4,FALSE,-0.8509231327671445,-0.8978144859174911,-1.7150296891695014
YAL022C,FUN26,FALSE,-0.16003894776835176,0.30203533188685633,0.6306811138117311
YAL023C,PMT2,FALSE,-0.40128715155574196,-0.4596628319078432,0.706416370950233
YAL024C,LTE1,FALSE,-0.18780281735697474,-2.0298198692238483,-2.168087300307583
YAL025C,MAK16,TRUE,-0.5143691913017959,-0.952065213321723,-1.176939108932129
YAL026C,DRS2,FALSE,0.8251712980528488,-0.6854613751159986,-0.890995036644375
YAL026C-A,YAL026C-A,FALSE,-0.16519707650686072,-0.12751036250916542,-0.14348574654288898
YAL029C,MYO4,FALSE,-0.2931304523800551,-0.18531847045199548,0.49472215258283747
YAL031C,GIP4,FALSE,0.08391858908660552,-0.37625553986018934,-0.22945694288723492
YAL032C,PRP45,TRUE,-0.5019597739312361,-1.3290109681665951,-1.0792992155487124
YAL033W,POP5,TRUE,-0.4492270792300424,-0.7986916687292123,-0.7526438993273934
YAL034C,FUN19,FALSE,-0.12282788543525455,-0.2951592577450275,0.20934416643079026
YAL034W-A,MTW1,TRUE,-1.9232411710442952,-3.2464729583129452,-2.464337646958456
YAL035W,FUN12,FALSE,-0.38365104533778455,-1.3767521861774992,-1.4348694682772383
YAL036C,RBG1,FALSE,-0.43911057145957233,-0.3114645292695177,0.6546408290123518
YAL037W,YAL037W,FALSE,-0.10788816916096158,-0.004572527134349302,-0.10492397416337765
YAL038W,CDC19,TRUE,-1.0528883007207357,-2.048334441279049,-1.6256828321664076
YAL039C,CYC3,FALSE,-0.3500452866203822,-0.27051035970423143,-0.9884462244207444
YAL041W,CDC24,TRUE,-1.9988755781135974,-2.2774989115171183,-1.876150012495359
YAL042W,ERV46,FALSE,-0.50096550979423915,-0.2235974377485325,0.34949204346390284
YAL043C,PTA1,TRUE,-1.7606210996873157,-2.932164709292736,-2.204919032751713
YAL044C,GCV3,FALSE,0.18108910148387858,-0.4549926589198968,-0.4126590529208366
YAL047C,SPC72,FALSE,-0.11376096197727209,-0.5919161194275322,-2.1358004543102727
YAL048C,GEM1,FALSE,-0.21457069483762845,0.28234994499805055,-0.4607467494555324
YAL049C,AIM2,FALSE,-0.3642574315023358,-0.367727406186301,-0.9781335190783906
YAL051W,OAF1,FALSE,0.7220774036548976,-0.3545823775103435,0.47464653765767156
YAL053W,FLC2,FALSE,-0.5244434066919015,-0.40549313382217794,-0.6110656700587777
YAL054C,ACS1,FALSE,-0.3766867809273181,-0.6919885380354327,-0.6287944858694013
YAL056W,GPB2,FALSE,0.1371904386072157,0.37225522723836135,-0.5035012389126375
YAL058W,CNE1,FALSE,-0.5424928387910334,-0.5581588368300082,-0.6381009083722056
YAL059W,ECM1,FALSE,-0.066614114670621,-0.2689700157900202,-1.0184244611948674
YAL060W,BDH1,FALSE,0.6551137769682274,0.20298433929714388,0.6368427568351667
YAL061W,BDH2,FALSE,0.15054580866331757,0.10784662738289241,0.03600124337133248
YAL062W,GDH3,FALSE,-0.5609933481869976,-0.5223678116827238,-0.5503766492509428
YAL063C,FLO9,FALSE,-0.00450706054001007,-0.014732094602230267,-0.6198045779010354
YAL065C,YAL065C,FALSE,-0.10584193916184892,-0.1539325557240189,0.12238727561584997
YAL067C,SEO1,FALSE,0.441879072258822,0.13583705462576823,-0.381043143540358
YAR002C-A,ERP1,FALSE,-0.11123168258593553,0.2266828173131023,-0.4787181069264326
YAR002W,NUP60,FALSE,0.7002278939439694,0.5223967937948943,0.5748668390094734
YAR003W,SWD1,FALSE,-0.4546393605946092,0.4830465630988553,-0.32153814044665197
YAR007C,RFA1,TRUE,-0.9618099777058774,-2.3357902807406563,-2.1658607125144616
YAR008W,SEN34,TRUE,-0.6511950682248095,-1.2154500730682887,-2.3048950582766565
YAR014C,BUD14,FALSE,-0.551574966249951,-1.0812848477727102,-0.9316902005732973
YAR015W,ADE1,FALSE,-0.553802424002949,-0.7599380931151483,-0.7286984821443567
YAR018C,KIN3,FALSE,-0.9398453527614072,-0.680609052406222,-0.8698829769961293
YAR019C,CDC15,TRUE,-1.4430958180924953,-4.082152950479184,-2.652201963535127
YAR023C,YAR023C,FALSE,-0.13539305005928606,0.25214208946612443,0.45539083178056905
YAR027W,UIP3,FALSE,-0.023242658912074124,-0.006869454386870713,-0.14594367666827848
YAR031W,PRM9,FALSE,0.22171140374646597,-0.1633188662952135,-0.5156297611849557
YAR035W,YAT1,FALSE,-1.0268523133807455,-0.6333222770005599,-0.5860294497287863
YAR042W,SWH1,FALSE,-0.416495546956652,0.4888658407802923,-0.4070507157508153
YAR047C,YAR047C,FALSE,-0.5495217644719625,-0.3106089899385096,-0.4739043037211998
YAR050W,FLO1,FALSE,0.2026318076394925,0.23116908618321158,0.47604806214240997
YBL003C,HTA2,FALSE,-0.04492222963245139,0.05815158280548855,-0.010821698730057616
YBL004W,UTP20,TRUE,-1.2291864228787497,-2.432013505105461,-2.34969081187736
YBL005W,PDR3,FALSE,0.1952833632177534,0.05874061494489685,-0.0071830561735400904
YBL007C,SLA1,FALSE,-1.010210550062118,-1.1735802841715326,-1.7357268952580394
YBL008W,HIR1,FALSE,0.12692602512176918,0.2439759669031703,-0.2691954288832963
YBL008W-A,YBL008W-A,FALSE,-0.5890658191057195,-0.43032556939999733,-0.02032840766736961
YBL009W,ALK2,FALSE,0.29348177660629937,0.5604404739999654,0.5419647010463771
YBL011W,SCT1,FALSE,0.20603174531813243,0.5214161809527659,0.427888531311551
YBL013W,FMT1,FALSE,-0.52753462003055,-0.49734631383191585,-0.632913006131769
YBL014C,RRN6,TRUE,-0.7840960220924373,-2.123468625603362,-2.221790461480781
YBL015W,ACH1,FALSE,-0.48006310379532974,-0.6742476387708063,-0.7434727908266815
YBL016W,FUS3,FALSE,-0.8247322500853983,-1.0607348101268044,-1.6341546121222754
YBL017C,PEP1,FALSE,-0.36778069399688107,-0.8218558798842956,-1.1550093751668575
YBL019W,APN2,FALSE,-0.14156065691162995,0.28407551223493677,0.5003412013011845
YBL020W,RFT1,TRUE,-1.3053184339682107,-1.9488542547436443,-2.182626075387837
YBL021C,HAP3,FALSE,0.5948485161330581,0.30438883914899406,0.5242429015309028
YBL022C,PIM1,FALSE,0.2884929449282136,0.7892494336044426,0.9270342019931478
YBL023C,MCM2,TRUE,-2.8896928998635647,-4.002868725107027,-2.9632538648111626
YBL024W,NCL1,FALSE,-0.4331301904049214,-0.18166342121841517,-0.04579524729465631
YBL026W,LSM2,TRUE,-0.587279731948932,-1.0558863264932234,-1.6829784698675203
YBL027W,RPL19B,FALSE,-2.692102310614817,-3.360974716939591,-2.7783190512177374
YBL030C,PET9,TRUE,-0.8200190643221202,-1.5946783396184934,-2.8571962988810182
YBL032W,HEK2,FALSE,-0.5229814051214806,-1.0371710803397725,-0.9119597239519701
YBL033C,RIB1,FALSE,-0.6614054487399821,-3.0523094797787764,-2.0671307120238396
YBL034C,STU1,TRUE,1.010327172786243,-1.4718973221084806,-1.5774404697790196
YBL035C,POL12,TRUE,-0.48887657427345704,-1.9064684761013622,-3.136192264550098
YBL036C,YBL036C,FALSE,-0.20894897177781493,-0.45302528818235455,-0.6272568692081374
YBL037W,APL3,FALSE,0.46574055522968577,-0.5140803310575542,-0.4227354056405527
YBL038W,MRPL16,FALSE,0.38710011037693387,0.6827777488911939,0.7198908581347176
YBL039C,URA7,FALSE,0.2751996463873321,-0.29642616689910517,0.6859145528583863
YBL040C,ERD2,TRUE,-1.1928409503350805,-3.016958018616272,-2.2244014480196093
YBL041W,PRE7,TRUE,-2.8016526233355963,-3.8390078267434733,-2.7425004190144495
YBL042C,FUI1,FALSE,0.3130234879418222,-0.5146658975973337,0.8932807745039162
YBL045C,COR1,FALSE,0.36510739322847524,0.6742509101815967,-0.7460675136527792
YBL046W,PSY4,FALSE,-0.4757199627257517,-0.35801165799549606,0.1625063708092554
YBL047C,EDE1,FALSE,-0.6382018404632748,0.32467048747216526,-1.0999559304850979
YBL048W,RRT1,FALSE,0.09276983314661527,0.22721569861160432,-0.18263246445748857
YBL049W,MOH1,FALSE,-0.560304784458976,-0.5225791145564115,-0.6173950248922202
YBL050W,SEC17,TRUE,0.3388165523439893,-0.09373110564367965,-0.04178998636736306
YBL051C,PIN4,FALSE,0.4007918158140835,0.43138284932818144,-0.31150708509627423
YBL052C,SAS3,FALSE,-0.23195706471483346,-0.5401125364654551,-0.6573513916803502
YBL054W,TOD6,FALSE,-0.02885186711727225,-0.39979323180481174,-0.2994783609260181
YBL055C,YBL055C,FALSE,0.1289865868272057,-0.2888630252085663,0.23758010641519473
YBL056W,PTC3,FALSE,0.3485493393903471,0.4249086013702353,0.09509475031180313
YBL057C,PTH2,FALSE,-0.5777574106660553,-0.4972957407790783,-0.6400395578786406
YBL058W,SHP1,FALSE,-0.29472431793207843,-0.9218064370179201,-1.7632139629295407
YBL059W,YBL059W,FALSE,-0.33946997341692153,-0.26159370275030547,-0.42803826935521505
YBL060W,YEL1,FALSE,-0.21290731195661156,-0.17827109829286222,-0.6284587215758197
YBL061C,SKT5,FALSE,-0.4385104921530481,-0.4883030298804398,-0.35781689881920037
YBL063W,KIP1,FALSE,0.24163023266631292,-0.2519141691005714,-1.0737711929125855
YBL064C,PRX1,FALSE,-0.23437299297752104,-0.3140705749211282,-0.8518803300661854
YBL065W,YBL065W,FALSE,-0.25508356969651186,-0.8245648445399884,-0.34955307892261744
YBL066C,SEF1,FALSE,0.46488363906463703,0.5770782808206564,-0.6127938930013213
YBL067C,UBP13,FALSE,0.15047734862092899,-0.5587405977421207,-1.118758723631578
YBL068W,PRS4,FALSE,-0.2581820583031103,0.3184744247004963,-0.4686509642983862
YBL069W,AST1,FALSE,-0.20682206665353894,-0.057292876600688346,0.1166201204890045
YBL070C,YBL070C,FALSE,-0.24182981604813317,-0.3891274943610804,-0.3718206485189815
YBL071C,YBL071C,FALSE,0.2795160155825328,0.2947201321386014,0.10998632338900377
YBL071C-B,YBL071C-B,FALSE,-0.9705180997842819,-1.6624173410064547,-1.3212354468384921
YBL071W-A,KTI11,FALSE,-1.8595240717229342,-1.9758278230915534,-3.5671113456899786
YBL072C,RPS8A,FALSE,0.274600040407766,0.18902468872688719,-0.09409186048944364
YBL073W,YBL073W,TRUE,-0.4222758269087281,-0.5720406096820991,-0.2575344486226688
YBL074C,AAR2,TRUE,0.2083510211577373,-0.629610425161043,-1.0779336407842486
YBL075C,SSA3,FALSE,0.3490915205725648,-0.3294554856978357,0.28742159864268796
YBL076C,ILS1,TRUE,-2.9946456783030406,-5.3374797363379685,-3.4352297656071418
YBL078C,ATG8,FALSE,0.45805944731407827,0.096599364221934,0.14484179529216196
