category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO.0005730	63	236	4932	YAL025C,YBL026W,YBR057C,YBR154C,YBR247C,YCR035C,YCR086W,YDL031W,YDL153C,YDR101C,YDR194C,YDR398W,YDR496C,YER006W,YER164W,YFL002C,YFR028C,YGL070C,YGL111W,YGR103W,YGR145W,YGR158C,YGR159C,YGR251W,YHR052W,YHR069C,YHR148W,YIL091C,YJL033W,YJL076W,YKL009W,YKL021C,YKR081C,YLR186W,YML093W,YMR128W,YMR229C,YMR269W,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL224C,YNL248C,YNR038W,YNR053C,YNR054C,YOL010W,YOL041C,YOL077C,YOR078W,YOR145C,YOR224C,YOR272W,YOR340C,YOR341W,YPL043W,YPL093W,YPL146C,YPL208W,YPR137W,YPR187W	MAK16,LSM2,MUM2,RPB5,ENP1,RRP43,CSM1,DBP10,SAS10,ARX1,MSS116,UTP5,PUF6,NUG1,CHD1,SPB4,CDC14,RPB9,NSA1,NOP7,ENP2,MTR3,NSR1,NOP19,CIC1,RRP4,IMP3,UTP25,HCA4,NET1,MRT4,MAK11,RPF2,EMG1,UTP14,ECM16,RRP5,TMA23,HAS1,RLP7,IMP4,NOP15,NOP13,SQS1,RPA49,DBP6,NOG2,ESF2,RCL1,NOP12,BRX1,BUD21,PNO1,RPB8,YTM1,RPA43,RPA190,NOP4,NOG1,NOP53,RKM1,RRP9,RPO26	1.2e-5	0.006	nucleolus
Component	GO.0030684	44	159	4932	YAL025C,YBR247C,YDL031W,YDL153C,YDR101C,YDR398W,YDR496C,YER006W,YFL002C,YGL111W,YGL120C,YGR103W,YGR145W,YGR251W,YHR052W,YHR148W,YIL091C,YIR026C,YJL033W,YKL009W,YKR081C,YLR048W,YLR106C,YLR186W,YML093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL224C,YNR038W,YNR053C,YOL010W,YOL041C,YOL077C,YOR078W,YOR145C,YOR272W,YPL043W,YPL093W,YPR137W	MAK16,ENP1,DBP10,SAS10,ARX1,UTP5,PUF6,NUG1,SPB4,NSA1,PRP43,NOP7,ENP2,NOP19,CIC1,IMP3,UTP25,YVH1,HCA4,MRT4,RPF2,RPS0B,MDN1,EMG1,UTP14,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,SQS1,DBP6,NOG2,RCL1,NOP12,BRX1,BUD21,PNO1,YTM1,NOP4,NOG1,RRP9	1.4e-4	0.0355	preribosome
Keyword	KW-0690	47	167	4932	YBR154C,YBR247C,YDL031W,YDL153C,YDR398W,YER006W,YFL002C,YGL111W,YGR103W,YGR145W,YGR251W,YHR052W,YHR148W,YIL091C,YJL033W,YJL122W,YKL009W,YKL021C,YLR048W,YLR186W,YML093W,YMR128W,YMR229C,YMR269W,YMR290C,YNL002C,YNL075W,YNL110C,YNL182C,YNL248C,YNR038W,YNR053C,YNR054C,YOL010W,YOL041C,YOL077C,YOR078W,YOR145C,YOR224C,YOR272W,YOR340C,YOR341W,YPL043W,YPL093W,YPL146C,YPR137W,YPR187W	RPB5,ENP1,DBP10,SAS10,UTP5,NUG1,SPB4,NSA1,NOP7,ENP2,NOP19,CIC1,IMP3,UTP25,HCA4,ALB1,MRT4,MAK11,RPS0B,EMG1,UTP14,ECM16,RRP5,TMA23,HAS1,RLP7,IMP4,NOP15,IPI3,RPA49,DBP6,NOG2,ESF2,RCL1,NOP12,BRX1,BUD21,PNO1,RPB8,YTM1,RPA43,RPA190,NOP4,NOG1,NOP53,RRP9,RPO26	5.9e-5	0.0131	Ribosome biogenesis
NetworkNeighborAL	CL.942	44	137	4932	YAL025C,YBR247C,YDL031W,YDL153C,YDR101C,YDR398W,YDR496C,YER006W,YFL002C,YGL111W,YGR103W,YGR145W,YGR251W,YHR052W,YHR148W,YIL091C,YIR026C,YJL033W,YJL122W,YKL009W,YKL021C,YKR081C,YLR106C,YLR186W,YML093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR053C,YOL010W,YOL041C,YOL077C,YOR078W,YOR145C,YOR272W,YPL043W,YPL093W,YPL146C,YPR137W	MAK16,ENP1,DBP10,SAS10,ARX1,UTP5,PUF6,NUG1,SPB4,NSA1,NOP7,ENP2,NOP19,CIC1,IMP3,UTP25,YVH1,HCA4,ALB1,MRT4,MAK11,RPF2,MDN1,EMG1,UTP14,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,NOG2,RCL1,NOP12,BRX1,BUD21,PNO1,YTM1,NOP4,NOG1,NOP53,RRP9	6.98e-6	0.0052	preribosome
NetworkNeighborAL	CL.941	45	143	4932	YAL025C,YBR247C,YDL031W,YDL153C,YDR101C,YDR398W,YDR496C,YER006W,YFL002C,YGL111W,YGR103W,YGR145W,YGR251W,YHR052W,YHR148W,YIL091C,YIR026C,YJL033W,YJL122W,YKL009W,YKL021C,YKR081C,YLR106C,YLR186W,YML093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR053C,YNR054C,YOL010W,YOL041C,YOL077C,YOR078W,YOR145C,YOR272W,YPL043W,YPL093W,YPL146C,YPR137W	MAK16,ENP1,DBP10,SAS10,ARX1,UTP5,PUF6,NUG1,SPB4,NSA1,NOP7,ENP2,NOP19,CIC1,IMP3,UTP25,YVH1,HCA4,ALB1,MRT4,MAK11,RPF2,MDN1,EMG1,UTP14,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,NOG2,ESF2,RCL1,NOP12,BRX1,BUD21,PNO1,YTM1,NOP4,NOG1,NOP53,RRP9	8.46e-6	0.0052	preribosome
NetworkNeighborAL	CL.939	46	155	4932	YAL025C,YBR247C,YDL031W,YDL153C,YDR101C,YDR398W,YDR496C,YER006W,YFL002C,YGL111W,YGR103W,YGR145W,YGR159C,YGR251W,YHR052W,YHR148W,YIL091C,YIR026C,YJL033W,YJL122W,YKL009W,YKL021C,YKR081C,YLR106C,YLR186W,YML093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR053C,YNR054C,YOL010W,YOL041C,YOL077C,YOR078W,YOR145C,YOR272W,YPL043W,YPL093W,YPL146C,YPR137W	MAK16,ENP1,DBP10,SAS10,ARX1,UTP5,PUF6,NUG1,SPB4,NSA1,NOP7,ENP2,NSR1,NOP19,CIC1,IMP3,UTP25,YVH1,HCA4,ALB1,MRT4,MAK11,RPF2,MDN1,EMG1,UTP14,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,NOG2,ESF2,RCL1,NOP12,BRX1,BUD21,PNO1,YTM1,NOP4,NOG1,NOP53,RRP9	2.36e-5	0.0052	preribosome, and pseudouridine synthesis
NetworkNeighborAL	CL.937	47	163	4932	YAL025C,YBR247C,YDL031W,YDL153C,YDR101C,YDR398W,YDR496C,YER006W,YFL002C,YGL111W,YGR103W,YGR145W,YGR159C,YGR251W,YHR052W,YHR148W,YIL091C,YIR026C,YJL033W,YJL122W,YKL009W,YKL021C,YKR081C,YLR106C,YLR186W,YML093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNR038W,YNR053C,YNR054C,YOL010W,YOL041C,YOL077C,YOR078W,YOR145C,YOR272W,YPL043W,YPL093W,YPL146C,YPR137W	MAK16,ENP1,DBP10,SAS10,ARX1,UTP5,PUF6,NUG1,SPB4,NSA1,NOP7,ENP2,NSR1,NOP19,CIC1,IMP3,UTP25,YVH1,HCA4,ALB1,MRT4,MAK11,RPF2,MDN1,EMG1,UTP14,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,DBP6,NOG2,ESF2,RCL1,NOP12,BRX1,BUD21,PNO1,YTM1,NOP4,NOG1,NOP53,RRP9	3.54e-5	0.0052	Ribosome biogenesis, and preribosome, large subunit precursor
NetworkNeighborAL	CL.935	49	169	4932	YAL025C,YBR247C,YDL031W,YDL153C,YDR101C,YDR398W,YDR496C,YER006W,YFL002C,YGL111W,YGL120C,YGR103W,YGR145W,YGR159C,YGR251W,YHR052W,YHR148W,YIL091C,YIR026C,YJL033W,YJL122W,YKL009W,YKL021C,YKR081C,YLR106C,YLR186W,YML093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL182C,YNL224C,YNR038W,YNR053C,YNR054C,YOL010W,YOL041C,YOL077C,YOR078W,YOR145C,YOR272W,YPL043W,YPL093W,YPL146C,YPR137W	MAK16,ENP1,DBP10,SAS10,ARX1,UTP5,PUF6,NUG1,SPB4,NSA1,PRP43,NOP7,ENP2,NSR1,NOP19,CIC1,IMP3,UTP25,YVH1,HCA4,ALB1,MRT4,MAK11,RPF2,MDN1,EMG1,UTP14,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,IPI3,SQS1,DBP6,NOG2,ESF2,RCL1,NOP12,BRX1,BUD21,PNO1,YTM1,NOP4,NOG1,NOP53,RRP9	2.11e-5	0.0052	Ribosome biogenesis, and preribosome
NetworkNeighborAL	CL.1096	20	45	4932	YAL025C,YDL031W,YDR101C,YDR496C,YER006W,YGL111W,YGR103W,YHR052W,YKL009W,YKR081C,YMR290C,YNL002C,YNL110C,YNL175C,YNR053C,YOL041C,YOL077C,YPL043W,YPL093W,YPL146C	MAK16,DBP10,ARX1,PUF6,NUG1,NSA1,NOP7,CIC1,MRT4,RPF2,HAS1,RLP7,NOP15,NOP13,NOG2,NOP12,BRX1,NOP4,NOG1,NOP53	8.41e-5	0.008	preribosome, large subunit precursor
NetworkNeighborAL	CL.1094	23	57	4932	YAL025C,YDL031W,YDR101C,YDR496C,YER006W,YGL111W,YGR103W,YHR052W,YKL009W,YKL021C,YKR081C,YLR106C,YMR290C,YNL002C,YNL110C,YNL175C,YNL182C,YNR053C,YOL041C,YOL077C,YPL043W,YPL093W,YPL146C	MAK16,DBP10,ARX1,PUF6,NUG1,NSA1,NOP7,CIC1,MRT4,MAK11,RPF2,MDN1,HAS1,RLP7,NOP15,NOP13,IPI3,NOG2,NOP12,BRX1,NOP4,NOG1,NOP53	8.16e-5	0.008	preribosome, large subunit precursor, and Rix1 complex
