category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Function	GO.0008483	7	20	4932	YDR019C,YFL030W,YGR019W,YHR137W,YIL116W,YMR289W,YOL140W	GCV1,AGX1,UGA1,ARO9,HIS5,ABZ2,ARG8	1.42e-5	0.0031	transaminase activity
Function	GO.0003824	66	1348	4932	YBR115C,YBR213W,YBR218C,YBR249C,YCL030C,YDL010W,YDL182W,YDR019C,YDR035W,YDR158W,YDR354W,YDR441C,YER020W,YER052C,YER055C,YER069W,YER081W,YER175C,YFL030W,YFR015C,YFR030W,YGL091C,YGL156W,YGL256W,YGR019W,YGR028W,YGR281W,YHL021C,YHR018C,YHR029C,YHR137W,YIL116W,YIR029W,YIR034C,YJL052W,YJL088W,YJL200C,YJR025C,YJR109C,YJR111C,YKL197C,YKL218C,YLR105C,YLR245C,YMR062C,YMR096W,YMR114C,YMR120C,YMR169C,YMR198W,YMR289W,YNL020C,YNL104C,YNL191W,YNR007C,YNR019W,YOL055C,YOL058W,YOL064C,YOL066C,YOL140W,YOL154W,YOR190W,YPL171C,YPR145W,YPR167C	LYS2,MET8,PYC2,ARO4,HIS4,GRX6,LYS20,GCV1,ARO3,HOM2,TRP4,APT2,GPA2,HOM3,HIS1,ARG5,6,SER3,TMT1,AGX1,GSY1,MET10,NBP35,AMS1,ADH4,UGA1,MSP1,YOR1,AIM17,ARG4,YHI9,ARO9,HIS5,DAL2,LYS1,TDH1,ARG3,ACO2,BNA1,CPA2,PXP2,PEX1,SRY1,SEN2,CDD1,ARG7,SNZ1,YMR114C,ADE17,ALD3,CIK1,ABZ2,ARK1,LEU4,DUG3,ATG3,ARE2,THI20,ARG1,MET22,RIB2,ARG8,ZPS1,SPR1,OYE3,ASN1,MET16	9.76e-6	0.0031	catalytic activity
Function	GO.0048037	16	162	4932	YBR115C,YBR218C,YCL030C,YDL010W,YDR158W,YER069W,YER081W,YGL091C,YGR019W,YHR137W,YIL116W,YJL052W,YJL200C,YKL218C,YOL140W,YPL171C	LYS2,PYC2,HIS4,GRX6,HOM2,ARG5,6,SER3,NBP35,UGA1,ARO9,HIS5,TDH1,ACO2,SRY1,ARG8,OYE3	1.2e-4	0.0092	cofactor binding
Function	GO.0050662	12	113	4932	YBR218C,YCL030C,YDR158W,YER069W,YER081W,YGR019W,YHR137W,YIL116W,YJL052W,YKL218C,YOL140W,YPL171C	PYC2,HIS4,HOM2,ARG5,6,SER3,UGA1,ARO9,HIS5,TDH1,SRY1,ARG8,OYE3	4.9e-4	0.0314	coenzyme binding
Function	GO.0016620	5	17	4932	YBR115C,YDR158W,YER069W,YJL052W,YMR169C	LYS2,HOM2,ARG5,6,TDH1,ALD3	5.1e-4	0.0314	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
KEGG	map01230	22	110	4932	YBR115C,YBR218C,YBR249C,YCL030C,YDL182W,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YER081W,YHR018C,YIL116W,YIR034C,YJL052W,YJL088W,YJL200C,YMR062C,YNL104C,YOL058W,YOL140W	LYS2,PYC2,ARO4,HIS4,LYS20,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,SER3,ARG4,HIS5,LYS1,TDH1,ARG3,ACO2,ARG7,LEU4,ARG1,ARG8	4.1e-11	2.13e-9	Biosynthesis of amino acids
KEGG	map01130	24	196	4932	YBR115C,YBR249C,YDL182W,YDR019C,YDR035W,YDR158W,YDR354W,YER052C,YER069W,YER081W,YFL030W,YGL256W,YHR018C,YHR137W,YIL116W,YIR034C,YJL052W,YJL088W,YJL200C,YMR062C,YMR120C,YOL058W,YOL064C,YOL140W	LYS2,ARO4,LYS20,GCV1,ARO3,HOM2,TRP4,HOM3,ARG5,6,SER3,AGX1,ADH4,ARG4,ARO9,HIS5,LYS1,TDH1,ARG3,ACO2,ARG7,ADE17,ARG1,MET22,ARG8	3.72e-8	7e-7	Biosynthesis of antibiotics
KEGG	map01100	42	543	4932	YBR115C,YBR213W,YBR218C,YBR249C,YCL030C,YDL182W,YDR019C,YDR035W,YDR158W,YDR354W,YDR441C,YER052C,YER055C,YER069W,YER081W,YFL030W,YFR015C,YFR030W,YGL256W,YGR019W,YHR018C,YHR137W,YIL116W,YIR029W,YIR034C,YJL052W,YJL088W,YJL200C,YJR025C,YJR109C,YLR245C,YMR062C,YMR120C,YMR169C,YNL104C,YOL055C,YOL058W,YOL064C,YOL066C,YOL140W,YPR145W,YPR167C	LYS2,MET8,PYC2,ARO4,HIS4,LYS20,GCV1,ARO3,HOM2,TRP4,APT2,HOM3,HIS1,ARG5,6,SER3,AGX1,GSY1,MET10,ADH4,UGA1,ARG4,ARO9,HIS5,DAL2,LYS1,TDH1,ARG3,ACO2,BNA1,CPA2,CDD1,ARG7,ADE17,ALD3,LEU4,THI20,ARG1,MET22,RIB2,ARG8,ASN1,MET16	2.69e-8	7e-7	Metabolic pathways
KEGG	map01110	26	249	4932	YBR115C,YBR213W,YBR249C,YCL030C,YDR019C,YDR035W,YDR158W,YDR354W,YER052C,YER055C,YER069W,YFL030W,YGL256W,YHR018C,YHR137W,YIL116W,YIR034C,YJL052W,YJL088W,YMR062C,YMR120C,YMR169C,YNL104C,YOL058W,YOL140W,YPR145W	LYS2,MET8,ARO4,HIS4,GCV1,ARO3,HOM2,TRP4,HOM3,HIS1,ARG5,6,AGX1,ADH4,ARG4,ARO9,HIS5,LYS1,TDH1,ARG3,ARG7,ADE17,ALD3,LEU4,ARG1,ARG8,ASN1	1.75e-7	2.28e-6	Biosynthesis of secondary metabolites
KEGG	map00300	6	12	4932	YBR115C,YDL182W,YDR158W,YER052C,YIR034C,YJL200C	LYS2,LYS20,HOM2,HOM3,LYS1,ACO2	1.22e-5	1.3e-4	Lysine biosynthesis
