category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO.0030684	64	159	4932	YAL025C,YAL035W,YBR247C,YCL059C,YDL014W,YDL148C,YDL153C,YDR060W,YDR083W,YDR091C,YDR101C,YDR299W,YDR324C,YDR398W,YDR496C,YER002W,YER082C,YER126C,YER127W,YFL002C,YGL120C,YGL171W,YGR103W,YGR128C,YHR085W,YHR088W,YHR170W,YIL091C,YIR026C,YJL033W,YJR002W,YKL143W,YKR081C,YLL008W,YLL011W,YLL034C,YLR009W,YLR074C,YLR175W,YLR186W,YLR197W,YLR397C,YML093W,YMR093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNR053C,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YPL043W,YPL126W,YPL169C,YPL211W,YPL217C,YPL226W,YPR137W	MAK16,FUN12,ENP1,KRR1,NOP1,NOP14,SAS10,MAK21,RRP8,RLI1,ARX1,BFR2,UTP4,UTP5,PUF6,NOP16,UTP7,NSA2,LCP5,SPB4,PRP43,ROK1,NOP7,UTP8,IPI1,RPF1,NMD3,UTP25,YVH1,HCA4,MPP10,LTV1,RPF2,DRS1,SOF1,RIX7,RLP24,BUD20,CBF5,EMG1,NOP56,AFG2,UTP14,UTP15,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,NOP13,NOG2,NOP12,BRX1,UTP23,BUD21,PNO1,NOP4,NAN1,MEX67,NIP7,BMS1,NEW1,RRP9	5.12e-11	2.39e-8	preribosome
Component	GO.0005730	72	236	4932	YAL025C,YBR247C,YCL059C,YCR086W,YDL014W,YDL051W,YDL148C,YDL153C,YDR060W,YDR083W,YDR101C,YDR299W,YDR324C,YDR398W,YDR496C,YER002W,YER082C,YER126C,YER127W,YER164W,YFL002C,YFR028C,YGL171W,YGR030C,YGR095C,YGR103W,YGR128C,YGR158C,YGR159C,YGR245C,YHR069C,YHR088W,YIL091C,YJL033W,YJL050W,YJR002W,YKL021C,YKL082C,YKR081C,YKR092C,YLL008W,YLL011W,YLL034C,YLR009W,YLR175W,YLR186W,YLR197W,YML093W,YMR093W,YMR128W,YMR229C,YMR239C,YMR290C,YNL002C,YNL075W,YNL110C,YNL175C,YNL186W,YNL248C,YNR053C,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YOR341W,YPL043W,YPL126W,YPL208W,YPL211W,YPL217C,YPR137W	MAK16,ENP1,KRR1,CSM1,NOP1,LHP1,NOP14,SAS10,MAK21,RRP8,ARX1,BFR2,UTP4,UTP5,PUF6,NOP16,UTP7,NSA2,LCP5,CHD1,SPB4,CDC14,ROK1,POP6,RRP46,NOP7,UTP8,MTR3,NSR1,SDA1,RRP4,RPF1,UTP25,HCA4,MTR4,MPP10,MAK11,RRP14,RPF2,SRP40,DRS1,SOF1,RIX7,RLP24,CBF5,EMG1,NOP56,UTP14,UTP15,ECM16,RRP5,RNT1,HAS1,RLP7,IMP4,NOP15,NOP13,UBP10,RPA49,NOG2,NOP12,BRX1,UTP23,BUD21,PNO1,RPA190,NOP4,NAN1,RKM1,NIP7,BMS1,RRP9	6.45e-8	1.51e-5	nucleolus
Component	GO.0032040	25	48	4932	YCL059C,YDL014W,YDL148C,YDL153C,YDR299W,YDR324C,YDR398W,YER082C,YER127W,YGR128C,YIL091C,YJL033W,YJR002W,YLL011W,YLR186W,YLR197W,YML093W,YMR093W,YMR128W,YMR229C,YNL075W,YOR004W,YOR078W,YPL126W,YPR137W	KRR1,NOP1,NOP14,SAS10,BFR2,UTP4,UTP5,UTP7,LCP5,UTP8,UTP25,HCA4,MPP10,SOF1,EMG1,NOP56,UTP14,UTP15,ECM16,RRP5,IMP4,UTP23,BUD21,NAN1,RRP9	1.65e-6	2.6e-4	small-subunit processome
Component	GO.0030687	30	72	4932	YAL025C,YAL035W,YDR060W,YDR083W,YDR091C,YDR101C,YDR496C,YER002W,YER126C,YGR103W,YHR085W,YHR088W,YHR170W,YIR026C,YKR081C,YLL008W,YLL034C,YLR009W,YLR074C,YLR397C,YMR290C,YNL002C,YNL110C,YNR053C,YOL041C,YOL077C,YPL043W,YPL169C,YPL211W,YPL226W	MAK16,FUN12,MAK21,RRP8,RLI1,ARX1,PUF6,NOP16,NSA2,NOP7,IPI1,RPF1,NMD3,YVH1,RPF2,DRS1,RIX7,RLP24,BUD20,AFG2,HAS1,RLP7,NOP15,NOG2,NOP12,BRX1,NOP4,MEX67,NIP7,NEW1	5.64e-6	6.6e-4	preribosome, large subunit precursor
Component	GO.1990904	107	466	4932	YAL025C,YAL032C,YAL035W,YAL036C,YBL016W,YBR031W,YBR111W-A,YBR120C,YBR247C,YCL037C,YCL059C,YCR046C,YDL014W,YDL043C,YDL130W,YDL148C,YDL153C,YDL209C,YDL229W,YDR060W,YDR083W,YDR091C,YDR101C,YDR235W,YDR299W,YDR324C,YDR398W,YDR496C,YEL034W,YER002W,YER082C,YER110C,YER126C,YER127W,YFL002C,YFL034C-A,YGL099W,YGL120C,YGL171W,YGL173C,YGL174W,YGL195W,YGR030C,YGR054W,YGR078C,YGR103W,YGR128C,YGR162W,YGR234W,YHR034C,YHR085W,YHR088W,YHR170W,YIL091C,YIR026C,YJL033W,YJR002W,YKL006W,YKL143W,YKL170W,YKL181W,YKR081C,YLL008W,YLL011W,YLL024C,YLL034C,YLR009W,YLR061W,YLR074C,YLR175W,YLR186W,YLR197W,YLR249W,YLR397C,YLR406C,YML093W,YML117W,YMR012W,YMR093W,YMR128W,YMR229C,YMR246W,YMR290C,YMR309C,YNL002C,YNL014W,YNL075W,YNL110C,YNL118C,YNL175C,YNR051C,YNR053C,YOL039W,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YOR303W,YPL043W,YPL126W,YPL169C,YPL211W,YPL217C,YPL226W,YPR088C,YPR137W	MAK16,PRP45,FUN12,RBG1,FUS3,RPL4A,SUS1,CBP6,ENP1,SRO9,KRR1,IMG1,NOP1,PRP11,RPP1B,NOP14,SAS10,CWC2,SSB1,MAK21,RRP8,RLI1,ARX1,PRP42,BFR2,UTP4,UTP5,PUF6,HYP2,NOP16,UTP7,KAP123,NSA2,LCP5,SPB4,RPL22B,LSG1,PRP43,ROK1,XRN1,BUD13,GCN1,POP6,YGR054W,PAC10,NOP7,UTP8,TIF4631,YHB1,PIH1,IPI1,RPF1,NMD3,UTP25,YVH1,HCA4,MPP10,RPL14A,LTV1,MRPL38,PRS1,RPF2,DRS1,SOF1,SSA2,RIX7,RLP24,RPL22A,BUD20,CBF5,EMG1,NOP56,YEF3,AFG2,RPL31B,UTP14,NAB6,CLU1,UTP15,ECM16,RRP5,FAA4,HAS1,NIP1,RLP7,HEF3,IMP4,NOP15,DCP2,NOP13,BRE5,NOG2,RPP2A,NOP12,BRX1,UTP23,BUD21,PNO1,CPA1,NOP4,NAN1,MEX67,NIP7,BMS1,NEW1,SRP54,RRP9	7.6e-6	7.1e-4	ribonucleoprotein complex
Component	GO.0030686	29	79	4932	YBR247C,YCL059C,YDL014W,YDL148C,YDR060W,YDR083W,YDR299W,YDR324C,YER082C,YFL002C,YGL120C,YGL171W,YGR103W,YGR128C,YJR002W,YLL011W,YLR175W,YLR186W,YLR197W,YMR093W,YMR128W,YMR229C,YMR290C,YNL075W,YOR078W,YOR145C,YPL126W,YPL217C,YPR137W	ENP1,KRR1,NOP1,NOP14,MAK21,RRP8,BFR2,UTP4,UTP7,SPB4,PRP43,ROK1,NOP7,UTP8,MPP10,SOF1,CBF5,EMG1,NOP56,UTP15,ECM16,RRP5,HAS1,IMP4,BUD21,PNO1,NAN1,BMS1,RRP9	5.47e-5	0.0043	90S preribosome
Component	GO.0031981	112	529	4932	YAL025C,YAL043C,YBR103W,YBR111W-A,YBR198C,YBR231C,YBR247C,YBR253W,YCL029C,YCL059C,YCR086W,YDL002C,YDL014W,YDL051W,YDL147W,YDL148C,YDL153C,YDR060W,YDR083W,YDR101C,YDR176W,YDR228C,YDR299W,YDR308C,YDR324C,YDR398W,YDR496C,YEL032W,YER002W,YER082C,YER088C,YER110C,YER126C,YER127W,YER164W,YFL002C,YFR028C,YGL171W,YGL213C,YGR030C,YGR095C,YGR103W,YGR116W,YGR128C,YGR158C,YGR159C,YGR245C,YHR069C,YHR085W,YHR088W,YHR167W,YHR170W,YHR197W,YIL091C,YJL033W,YJL050W,YJR002W,YKL018W,YKL021C,YKL082C,YKR081C,YKR092C,YLL008W,YLL011W,YLL034C,YLR009W,YLR052W,YLR126C,YLR175W,YLR186W,YLR197W,YLR321C,YLR347C,YML093W,YML127W,YMR033W,YMR044W,YMR093W,YMR128W,YMR129W,YMR229C,YMR239C,YMR290C,YMR308C,YNL002C,YNL075W,YNL110C,YNL151C,YNL175C,YNL182C,YNL186W,YNL248C,YNR053C,YOL041C,YOL077C,YOR004W,YOR074C,YOR078W,YOR145C,YOR250C,YOR341W,YPL001W,YPL043W,YPL126W,YPL127C,YPL128C,YPL169C,YPL208W,YPL211W,YPL217C,YPR137W,YPR162C	MAK16,PTA1,SIF2,SUS1,TAF5,SWC5,ENP1,SRB6,BIK1,KRR1,CSM1,NHP10,NOP1,LHP1,RPN5,NOP14,SAS10,MAK21,RRP8,ARX1,NGG1,PCF11,BFR2,SRB7,UTP4,UTP5,PUF6,MCM3,NOP16,UTP7,DOT6,KAP123,NSA2,LCP5,CHD1,SPB4,CDC14,ROK1,SKI8,POP6,RRP46,NOP7,SPT6,UTP8,MTR3,NSR1,SDA1,RRP4,IPI1,RPF1,THP2,NMD3,RIX1,UTP25,HCA4,MTR4,MPP10,SWD2,MAK11,RRP14,RPF2,SRP40,DRS1,SOF1,RIX7,RLP24,IES3,YLR126C,CBF5,EMG1,NOP56,SFH1,KAP95,UTP14,RSC9,ARP9,IOC4,UTP15,ECM16,POM152,RRP5,RNT1,HAS1,PSE1,RLP7,IMP4,NOP15,RPC31,NOP13,IPI3,UBP10,RPA49,NOG2,NOP12,BRX1,UTP23,CDC21,BUD21,PNO1,CLP1,RPA190,HAT1,NOP4,NAN1,HHO1,TBF1,MEX67,RKM1,NIP7,BMS1,RRP9,ORC4	1.1e-4	0.0071	nuclear lumen
KEGG	map03008	24	63	4932	YDL014W,YDR324C,YDR398W,YGL099W,YGL173C,YGR030C,YGR128C,YHR170W,YJR002W,YLL034C,YLR022C,YLR175W,YLR186W,YLR197W,YLR397C,YML093W,YMR093W,YMR239C,YNL075W,YNR053C,YPL043W,YPL126W,YPL169C,YPL217C	NOP1,UTP4,UTP5,LSG1,XRN1,POP6,UTP8,NMD3,MPP10,RIX7,SDO1,CBF5,EMG1,NOP56,AFG2,UTP14,UTP15,RNT1,IMP4,NOG2,NOP4,NAN1,MEX67,BMS1	1.5e-4	0.0141	Ribosome biogenesis in eukaryotes
Keyword	KW-0690	58	167	4932	YBR247C,YCL059C,YDL014W,YDL148C,YDL153C,YDR060W,YDR091C,YDR324C,YDR398W,YER002W,YER082C,YER126C,YER127W,YFL002C,YGL171W,YGR103W,YGR128C,YGR245C,YHR085W,YHR088W,YHR197W,YIL091C,YJL033W,YJL122W,YJR002W,YKL021C,YKL082C,YLL008W,YLL011W,YLL034C,YLR009W,YLR022C,YLR175W,YLR186W,YLR197W,YLR397C,YML093W,YMR093W,YMR128W,YMR229C,YMR290C,YNL002C,YNL075W,YNL110C,YNL182C,YNL248C,YNR053C,YOL041C,YOL077C,YOR004W,YOR078W,YOR145C,YOR341W,YPL043W,YPL126W,YPL211W,YPL217C,YPR137W	ENP1,KRR1,NOP1,NOP14,SAS10,MAK21,RLI1,UTP4,UTP5,NOP16,UTP7,NSA2,LCP5,SPB4,ROK1,NOP7,UTP8,SDA1,IPI1,RPF1,RIX1,UTP25,HCA4,ALB1,MPP10,MAK11,RRP14,DRS1,SOF1,RIX7,RLP24,SDO1,CBF5,EMG1,NOP56,AFG2,UTP14,UTP15,ECM16,RRP5,HAS1,RLP7,IMP4,NOP15,IPI3,RPA49,NOG2,NOP12,BRX1,UTP23,BUD21,PNO1,RPA190,NOP4,NAN1,NIP7,BMS1,RRP9	3.95e-8	9.09e-6	Ribosome biogenesis
Keyword	KW-0698	51	148	4932	YCL059C,YDL014W,YDL148C,YDL153C,YDR083W,YDR091C,YDR324C,YDR398W,YER002W,YER082C,YER126C,YER127W,YFL002C,YGL171W,YGL173C,YGL246C,YGR030C,YGR095C,YGR103W,YGR128C,YGR158C,YGR159C,YHR069C,YHR081W,YHR085W,YHR088W,YHR197W,YIL091C,YJL033W,YJL050W,YJR002W,YKL082C,YLL011W,YLR175W,YLR186W,YLR435W,YML093W,YML127W,YMR093W,YMR128W,YMR229C,YMR290C,YNL075W,YNL110C,YNL182C,YOL041C,YOR004W,YOR078W,YPL043W,YPL126W,YPR137W	KRR1,NOP1,NOP14,SAS10,RRP8,RLI1,UTP4,UTP5,NOP16,UTP7,NSA2,LCP5,SPB4,ROK1,XRN1,RAI1,POP6,RRP46,NOP7,UTP8,MTR3,NSR1,RRP4,LRP1,IPI1,RPF1,RIX1,UTP25,HCA4,MTR4,MPP10,RRP14,SOF1,CBF5,EMG1,TSR2,UTP14,RSC9,UTP15,ECM16,RRP5,HAS1,IMP4,NOP15,IPI3,NOP12,UTP23,BUD21,NOP4,NAN1,RRP9	3.52e-7	4.04e-5	rRNA processing
