category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Function	GO.0016491	33	249	4932	YBL064C,YBR026C,YBR213W,YCL035C,YDL010W,YDL124W,YDR453C,YDR513W,YER081W,YFR033C,YGR088W,YGR256W,YHL021C,YHR008C,YIL155C,YIR038C,YJL052W,YJR096W,YJR111C,YKL150W,YKR049C,YLL041C,YLR038C,YML054C,YMR169C,YMR170C,YNL052W,YNL202W,YNL274C,YOR120W,YOR374W,YPL171C,YPR127W	PRX1,ETR1,MET8,GRX1,GRX6,YDL124W,TSA2,GRX2,SER3,QCR6,CTT1,GND2,AIM17,SOD2,GUT2,GTT1,TDH1,YJR096W,PXP2,MCR1,FMP46,SDH2,COX12,CYB2,ALD3,ALD2,COX5A,SPS19,GOR1,GCY1,ALD4,OYE3,YPR127W	4.68e-6	0.0018	oxidoreductase activity
Function	GO.0016684	7	15	4932	YBL064C,YCL035C,YDR453C,YDR513W,YGR088W,YIR038C,YJR111C	PRX1,GRX1,TSA2,GRX2,CTT1,GTT1,PXP2	8.27e-5	0.0163	oxidoreductase activity, acting on peroxide as acceptor
Function	GO.0016209	9	29	4932	YBL064C,YCL035C,YDL010W,YDR453C,YDR513W,YGR088W,YHR008C,YIR038C,YJR111C	PRX1,GRX1,GRX6,TSA2,GRX2,CTT1,SOD2,GTT1,PXP2	1e-4	0.0163	antioxidant activity
Function	GO.0004866	4	4	4932	YHR138C,YLR178C,YMR174C,YNL015W	YHR138C,TFS1,PAI3,PBI2	4.3e-4	0.0387	endopeptidase inhibitor activity
Function	GO.0004601	6	14	4932	YBL064C,YCL035C,YDR453C,YDR513W,YGR088W,YIR038C	PRX1,GRX1,TSA2,GRX2,CTT1,GTT1	3.9e-4	0.0387	peroxidase activity
KEGG	map00500	14	27	4932	YBR126C,YCL040W,YDR001C,YDR074W,YEL011W,YFR015C,YFR053C,YKL035W,YLR258W,YML100W,YMR105C,YPR026W,YPR160W,YPR184W	TPS1,GLK1,NTH1,TPS2,GLC3,GSY1,HXK1,UGP1,GSY2,TSL1,PGM2,ATH1,GPH1,GDB1	6.81e-9	4.49e-7	Starch and sucrose metabolism
KEGG	map01100	51	543	4932	YBR026C,YBR117C,YBR126C,YBR213W,YBR278W,YCL040W,YDL021W,YDR001C,YDR074W,YDR441C,YEL011W,YEL021W,YER062C,YER081W,YFL030W,YFR015C,YFR033C,YFR053C,YGL037C,YGR019W,YGR043C,YGR248W,YGR254W,YGR256W,YIL160C,YIR029W,YJL052W,YJL153C,YJR010W,YKL035W,YLL041C,YLR038C,YLR258W,YML054C,YML070W,YML100W,YMR105C,YMR169C,YMR170C,YMR250W,YNL052W,YNL274C,YOL055C,YOL066C,YOR120W,YOR374W,YPR026W,YPR127W,YPR160W,YPR184W,YPR191W	ETR1,TKL2,TPS1,MET8,DPB3,GLK1,GPM2,NTH1,TPS2,APT2,GLC3,URA3,GPP2,SER3,AGX1,GSY1,QCR6,HXK1,PNC1,UGA1,NQM1,SOL4,ENO1,GND2,POT1,DAL2,TDH1,INO1,MET3,UGP1,SDH2,COX12,GSY2,CYB2,DAK1,TSL1,PGM2,ALD3,ALD2,GAD1,COX5A,GOR1,THI20,RIB2,GCY1,ALD4,ATH1,YPR127W,GPH1,GDB1,QCR2	8.28e-5	0.0027	Metabolic pathways
KEGG	map01200	14	95	4932	YBR117C,YCL040W,YDL021W,YER081W,YFL030W,YFR053C,YGR043C,YGR088W,YGR248W,YGR254W,YGR256W,YJL052W,YLL041C,YML070W	TKL2,GLK1,GPM2,SER3,AGX1,HXK1,NQM1,CTT1,SOL4,ENO1,GND2,TDH1,SDH2,DAK1	0.0014	0.0299	Carbon metabolism
KEGG	map00410	5	12	4932	YGR019W,YMR169C,YMR170C,YMR250W,YOR374W	UGA1,ALD3,ALD2,GAD1,ALD4	0.0014	0.0299	beta-Alanine metabolism
KEGG	map00010	9	47	4932	YCL040W,YDL021W,YFR053C,YGR254W,YJL052W,YMR105C,YMR169C,YMR170C,YOR374W	GLK1,GPM2,HXK1,ENO1,TDH1,PGM2,ALD3,ALD2,ALD4	0.0021	0.0299	Glycolysis / Gluconeogenesis
