category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO.0022625	35	56	4932	YDL075W,YDL081C,YDL082W,YDL130W,YDR382W,YFL034C-A,YGL076C,YGR148C,YHL001W,YHL033C,YHR010W,YIL133C,YJL177W,YJL189W,YLR009W,YLR029C,YLR061W,YLR075W,YLR185W,YLR340W,YLR344W,YLR406C,YLR448W,YML073C,YMR121C,YMR142C,YMR194W,YNL002C,YNL067W,YNL069C,YOR063W,YOR234C,YPL143W,YPL198W,YPL249C-A	RPL31A,RPP1A,RPL13A,RPP1B,RPP2B,RPL22B,RPL7A,RPL24B,RPL14B,RPL8A,RPL27A,RPL16A,RPL17B,RPL39,RLP24,RPL15A,RPL22A,RPL10,RPL37A,RPP0,RPL26A,RPL31B,RPL6B,RPL6A,RPL15B,RPL13B,RPL36A,RLP7,RPL9B,RPL16B,RPL3,RPL33B,RPL33A,RPL7B,RPL36B	3.68e-18	1.23e-15	cytosolic large ribosomal subunit
Component	GO.0015934	40	95	4932	YCR046C,YDL075W,YDL081C,YDL082W,YDL130W,YDR382W,YDR462W,YFL034C-A,YGL076C,YGR148C,YHL001W,YHL033C,YHR010W,YIL133C,YJL177W,YJL189W,YKL170W,YKR085C,YLR009W,YLR029C,YLR061W,YLR075W,YLR185W,YLR340W,YLR344W,YLR406C,YLR448W,YML073C,YMR121C,YMR142C,YMR194W,YNL002C,YNL067W,YNL069C,YNL284C,YOR063W,YOR234C,YPL143W,YPL198W,YPL249C-A	IMG1,RPL31A,RPP1A,RPL13A,RPP1B,RPP2B,MRPL28,RPL22B,RPL7A,RPL24B,RPL14B,RPL8A,RPL27A,RPL16A,RPL17B,RPL39,MRPL38,MRPL20,RLP24,RPL15A,RPL22A,RPL10,RPL37A,RPP0,RPL26A,RPL31B,RPL6B,RPL6A,RPL15B,RPL13B,RPL36A,RLP7,RPL9B,RPL16B,MRPL10,RPL3,RPL33B,RPL33A,RPL7B,RPL36B	5.15e-16	8.63e-14	large ribosomal subunit
Component	GO.0044391	49	152	4932	YBL090W,YCR046C,YDL061C,YDL075W,YDL081C,YDL082W,YDL130W,YDR382W,YDR462W,YFL034C-A,YFR049W,YGL076C,YGL123W,YGR148C,YGR165W,YGR215W,YHL001W,YHL033C,YHR010W,YIL133C,YJL177W,YJL189W,YJL191W,YKL170W,YKR085C,YLR009W,YLR029C,YLR061W,YLR075W,YLR185W,YLR340W,YLR344W,YLR406C,YLR448W,YML073C,YMR121C,YMR142C,YMR194W,YNL002C,YNL067W,YNL069C,YNL096C,YNL284C,YNL306W,YOR063W,YOR234C,YPL143W,YPL198W,YPL249C-A	MRP21,IMG1,RPS29B,RPL31A,RPP1A,RPL13A,RPP1B,RPP2B,MRPL28,RPL22B,YMR31,RPL7A,RPS2,RPL24B,MRPS35,RSM27,RPL14B,RPL8A,RPL27A,RPL16A,RPL17B,RPL39,RPS14B,MRPL38,MRPL20,RLP24,RPL15A,RPL22A,RPL10,RPL37A,RPP0,RPL26A,RPL31B,RPL6B,RPL6A,RPL15B,RPL13B,RPL36A,RLP7,RPL9B,RPL16B,RPS7B,MRPL10,MRPS18,RPL3,RPL33B,RPL33A,RPL7B,RPL36B	1.09e-15	1.02e-13	ribosomal subunit
Component	GO.0022626	40	97	4932	YDL061C,YDL075W,YDL081C,YDL082W,YDL130W,YDR382W,YEL034W,YFL034C-A,YGL076C,YGL123W,YGR148C,YHL001W,YHL033C,YHR010W,YIL133C,YJL177W,YJL189W,YJL191W,YLR009W,YLR029C,YLR061W,YLR075W,YLR185W,YLR340W,YLR344W,YLR406C,YLR448W,YML073C,YMR121C,YMR142C,YMR194W,YNL002C,YNL067W,YNL069C,YNL096C,YOR063W,YOR234C,YPL143W,YPL198W,YPL249C-A	RPS29B,RPL31A,RPP1A,RPL13A,RPP1B,RPP2B,HYP2,RPL22B,RPL7A,RPS2,RPL24B,RPL14B,RPL8A,RPL27A,RPL16A,RPL17B,RPL39,RPS14B,RLP24,RPL15A,RPL22A,RPL10,RPL37A,RPP0,RPL26A,RPL31B,RPL6B,RPL6A,RPL15B,RPL13B,RPL36A,RLP7,RPL9B,RPL16B,RPS7B,RPL3,RPL33B,RPL33A,RPL7B,RPL36B	9.11e-16	1.02e-13	cytosolic ribosome
Component	GO.0005840	50	171	4932	YBL090W,YCR046C,YDL061C,YDL075W,YDL081C,YDL082W,YDL130W,YDR382W,YDR462W,YEL034W,YFL034C-A,YFR049W,YGL076C,YGL123W,YGR148C,YGR165W,YGR215W,YHL001W,YHL033C,YHR010W,YIL133C,YJL177W,YJL189W,YJL191W,YKL170W,YKR085C,YLR009W,YLR029C,YLR061W,YLR075W,YLR185W,YLR340W,YLR344W,YLR406C,YLR448W,YML073C,YMR121C,YMR142C,YMR194W,YNL002C,YNL067W,YNL069C,YNL096C,YNL284C,YNL306W,YOR063W,YOR234C,YPL143W,YPL198W,YPL249C-A	MRP21,IMG1,RPS29B,RPL31A,RPP1A,RPL13A,RPP1B,RPP2B,MRPL28,HYP2,RPL22B,YMR31,RPL7A,RPS2,RPL24B,MRPS35,RSM27,RPL14B,RPL8A,RPL27A,RPL16A,RPL17B,RPL39,RPS14B,MRPL38,MRPL20,RLP24,RPL15A,RPL22A,RPL10,RPL37A,RPP0,RPL26A,RPL31B,RPL6B,RPL6A,RPL15B,RPL13B,RPL36A,RLP7,RPL9B,RPL16B,RPS7B,MRPL10,MRPS18,RPL3,RPL33B,RPL33A,RPL7B,RPL36B	1.4e-14	9.37e-13	ribosome
Component	GO.1990904	79	466	4932	YBL016W,YBL028C,YBL090W,YCR046C,YDL060W,YDL061C,YDL075W,YDL081C,YDL082W,YDL130W,YDL209C,YDL229W,YDR163W,YDR382W,YDR462W,YDR502C,YEL034W,YER002W,YER126C,YFL034C-A,YFR001W,YFR049W,YGL076C,YGL123W,YGL174W,YGR148C,YGR162W,YGR165W,YGR215W,YGR234W,YGR251W,YHL001W,YHL033C,YHL034C,YHR010W,YHR085W,YIL133C,YJL080C,YJL177W,YJL189W,YJL191W,YJR137C,YKL143W,YKL170W,YKR085C,YLR009W,YLR029C,YLR061W,YLR074C,YLR075W,YLR185W,YLR340W,YLR344W,YLR406C,YLR448W,YML073C,YML093W,YMR121C,YMR142C,YMR194W,YMR290C,YNL002C,YNL067W,YNL069C,YNL085W,YNL096C,YNL284C,YNL306W,YNR053C,YOR063W,YOR145C,YOR234C,YOR303W,YPL043W,YPL143W,YPL198W,YPL249C-A,YPR137W,YPR163C	FUS3,YBL028C,MRP21,IMG1,TSR1,RPS29B,RPL31A,RPP1A,RPL13A,RPP1B,CWC2,SSB1,CWC15,RPP2B,MRPL28,SAM2,HYP2,NOP16,NSA2,RPL22B,LOC1,YMR31,RPL7A,RPS2,BUD13,RPL24B,TIF4631,MRPS35,RSM27,YHB1,NOP19,RPL14B,RPL8A,SBP1,RPL27A,IPI1,RPL16A,SCP160,RPL17B,RPL39,RPS14B,MET5,LTV1,MRPL38,MRPL20,RLP24,RPL15A,RPL22A,BUD20,RPL10,RPL37A,RPP0,RPL26A,RPL31B,RPL6B,RPL6A,UTP14,RPL15B,RPL13B,RPL36A,HAS1,RLP7,RPL9B,RPL16B,MKT1,RPS7B,MRPL10,MRPS18,NOG2,RPL3,PNO1,RPL33B,CPA1,NOP4,RPL33A,RPL7B,RPL36B,RRP9,TIF3	1.88e-11	1.05e-9	ribonucleoprotein complex
Component	GO.0043232	101	838	4932	YBL016W,YBL028C,YBL090W,YBR231C,YCL029C,YCR046C,YCR086W,YDL060W,YDL061C,YDL075W,YDL076C,YDL081C,YDL082W,YDL130W,YDR382W,YDR383C,YDR462W,YDR502C,YEL032W,YEL034W,YER002W,YER088C,YER126C,YER164W,YFL034C-A,YFR001W,YFR049W,YGL076C,YGL123W,YGR148C,YGR162W,YGR165W,YGR215W,YGR234W,YGR251W,YHL001W,YHL033C,YHL034C,YHR010W,YIL133C,YJL080C,YJL148W,YJL177W,YJL189W,YJL191W,YJR009C,YJR092W,YJR137C,YKL054C,YKL057C,YKL101W,YKL138C-A,YKL170W,YKR085C,YKR092C,YLR009W,YLR029C,YLR061W,YLR075W,YLR153C,YLR185W,YLR340W,YLR342W,YLR344W,YLR406C,YLR448W,YML073C,YML093W,YMR121C,YMR142C,YMR194W,YMR241W,YMR290C,YNL002C,YNL067W,YNL069C,YNL085W,YNL096C,YNL248C,YNL284C,YNL306W,YNR053C,YOL090W,YOL115W,YOR014W,YOR063W,YOR145C,YOR234C,YOR239W,YOR303W,YOR341W,YPL043W,YPL082C,YPL127C,YPL143W,YPL198W,YPL249C-A,YPR052C,YPR137W,YPR162C,YPR163C	FUS3,YBL028C,MRP21,SWC5,BIK1,IMG1,CSM1,TSR1,RPS29B,RPL31A,RXT3,RPP1A,RPL13A,RPP1B,RPP2B,NKP1,MRPL28,SAM2,MCM3,HYP2,NOP16,DOT6,NSA2,CHD1,RPL22B,LOC1,YMR31,RPL7A,RPS2,RPL24B,TIF4631,MRPS35,RSM27,YHB1,NOP19,RPL14B,RPL8A,SBP1,RPL27A,RPL16A,SCP160,RPA34,RPL17B,RPL39,RPS14B,TDH2,BUD4,MET5,DEF1,NUP120,HSL1,HSK3,MRPL38,MRPL20,SRP40,RLP24,RPL15A,RPL22A,RPL10,ACS2,RPL37A,RPP0,FKS1,RPL26A,RPL31B,RPL6B,RPL6A,UTP14,RPL15B,RPL13B,RPL36A,YHM2,HAS1,RLP7,RPL9B,RPL16B,MKT1,RPS7B,RPA49,MRPL10,MRPS18,NOG2,MSH2,PAP2,RTS1,RPL3,PNO1,RPL33B,ABP140,CPA1,RPA190,NOP4,MOT1,HHO1,RPL33A,RPL7B,RPL36B,NHP6A,RRP9,ORC4,TIF3	5.79e-7	2.77e-5	intracellular non-membrane-bounded organelle
Component	GO.0030687	16	72	4932	YBL028C,YER002W,YER126C,YFR001W,YGL076C,YHL001W,YHR085W,YJL177W,YLR009W,YLR074C,YLR185W,YMR290C,YNL002C,YNR053C,YOR063W,YPL043W	YBL028C,NOP16,NSA2,LOC1,RPL7A,RPL14B,IPI1,RPL17B,RLP24,BUD20,RPL37A,HAS1,RLP7,NOG2,RPL3,NOP4	3.9e-4	0.0145	preribosome, large subunit precursor
Component	GO.0030684	26	159	4932	YBL028C,YDL060W,YER002W,YER126C,YFR001W,YGL076C,YGL123W,YGR251W,YHL001W,YHR085W,YJL177W,YJL191W,YKL143W,YLR009W,YLR074C,YLR185W,YLR340W,YML093W,YMR290C,YNL002C,YNL096C,YNR053C,YOR063W,YOR145C,YPL043W,YPR137W	YBL028C,TSR1,NOP16,NSA2,LOC1,RPL7A,RPS2,NOP19,RPL14B,IPI1,RPL17B,RPS14B,LTV1,RLP24,BUD20,RPL37A,RPP0,UTP14,HAS1,RLP7,RPS7B,NOG2,RPL3,PNO1,NOP4,RRP9	5.2e-4	0.0174	preribosome
Component	GO.0005829	65	570	4932	YBR231C,YCR043C,YDL005C,YDL061C,YDL075W,YDL081C,YDL082W,YDL130W,YDR153C,YDR216W,YDR382W,YDR502C,YEL034W,YER043C,YER091C,YFL034C-A,YGL076C,YGL123W,YGL185C,YGR148C,YGR234W,YHL001W,YHL033C,YHR010W,YHR085W,YIL133C,YJL159W,YJL177W,YJL189W,YJL191W,YJR009C,YJR132W,YKL127W,YKL130C,YKR071C,YLR009W,YLR029C,YLR061W,YLR075W,YLR153C,YLR185W,YLR340W,YLR344W,YLR406C,YLR448W,YML073C,YMR121C,YMR142C,YMR194W,YNL002C,YNL067W,YNL068C,YNL069C,YNL096C,YNL246W,YOL055C,YOL056W,YOL115W,YOR063W,YOR234C,YOR322C,YPL111W,YPL143W,YPL198W,YPL249C-A	SWC5,YCR043C,MED2,RPS29B,RPL31A,RPP1A,RPL13A,RPP1B,ENT5,ADR1,RPP2B,SAM2,HYP2,SAH1,MET6,RPL22B,RPL7A,RPS2,YGL185C,RPL24B,YHB1,RPL14B,RPL8A,RPL27A,IPI1,RPL16A,HSP150,RPL17B,RPL39,RPS14B,TDH2,NMD5,PGM1,SHE2,DRE2,RLP24,RPL15A,RPL22A,RPL10,ACS2,RPL37A,RPP0,RPL26A,RPL31B,RPL6B,RPL6A,RPL15B,RPL13B,RPL36A,RLP7,RPL9B,FKH2,RPL16B,RPS7B,VPS75,THI20,GPM3,PAP2,RPL3,RPL33B,LDB19,CAR1,RPL33A,RPL7B,RPL36B	8e-4	0.0244	cytosol
