Protein	Gene	ProteinName	EntrezID	ProteinCopy	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
Q0045	Q0045	NA	NA	Q0045	IRA2-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
Q0045	Q0045	NA	NA	Q0045	SIT4-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.666666666666667	0.166666666666667
Q0045	Q0045	NA	NA	Q0045	RAS21-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
Q0045	Q0045	NA	NA	Q0045	SSY5-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
Q0045	Q0045	NA	NA	Q0045	SAP155-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
Q0045	Q0045	NA	NA	Q0045	RAS22-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
Q0045	Q0045	NA	NA	Q0045	POP1-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
Q0250	Q0250	NA	NA	Q0250	SIT4-WT	2.53188602445937	0.390145170123736	6.48959981654104	13	2.03635709552508e-05	0.000426485433635373	NA	0.5	0.3
Q0250	Q0250	NA	NA	Q0250	RAS21-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.866666666666667	0.266666666666667
Q0250	Q0250	NA	NA	Q0250	IRA2-WT	-0.599679796359229	0.390145170123736	-1.53706835885996	13	0.148252749760146	0.312102666886551	NA	0.733333333333333	0.533333333333333
Q0250	Q0250	NA	NA	Q0250	RAS22-WT	0.34555587382559	0.390145170123736	0.885711012944224	13	0.391862549199335	0.560664878085202	NA	0.666666666666667	0.466666666666667
Q0250	Q0250	NA	NA	Q0250	SSY5-WT	-0.698483384642682	0.436195560744946	-1.60130787083159	13	0.13331868623911	0.282721699959915	NA	0.8	0.466666666666667
Q0250	Q0250	NA	NA	Q0250	SAP155-WT	0.290584387402757	0.390145170123735	0.74481093104548	13	0.469637486448025	0.594469739486019	NA	0.7	0.5
Q0250	Q0250	NA	NA	Q0250	POP1-WT	0.09555792389925	0.390145170123736	0.244929147447714	13	0.810335035653968	0.896088587670707	NA	0.7	0.5
R0030W	R0030W	NA	NA	R0030W	SIT4-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
R0030W	R0030W	NA	NA	R0030W	RAS21-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
