Protein	IRA2	POP1	RAS21	RAS22	SAP155	SIT4	SSY5	WT
Q0045	NA	NA	NA	NA	NA	26.337129576755	NA	NA
Q0250	24.729918186503	25.6372379350845	NA	25.8327534521561	25.4173754511485	27.9020495625718	24.7125223522792	25.3503740770098
R0030W	25.9342005828114	NA	25.4514037586905	NA	NA	NA	NA	NA
R0040C	24.9531866504876	24.2720973433181	24.7126841636248	24.3940076762573	23.9674066637095	24.1378656149297	25.0370912901065	24.6290188894888
YAL003W	29.1445673623622	28.2944618755499	28.5469915328624	28.641467754116	28.237694788711	28.3670222049434	28.7632265770441	29.1576844267922
YAL005C	26.3550717629768	27.082370719763	27.2765797099587	28.1142337508242	27.864436361886	28.3505944869716	26.4188974037155	27.429329685529
YAL007C	25.158435079019	25.3029358966723	25.5062427109404	24.8424697735585	NA	24.7574136907438	26.3169094659669	25.5394367558193
YAL012W	28.5750215658819	28.0922883804399	28.6064342725223	28.2917159210075	28.1642115275368	28.6225552210926	28.8056894184026	28.72503945018
YAL013W	NA	25.6413589833268	26.2228786037171	NA	NA	25.8692463927009	NA	NA
YAL014C	26.3391643318298	NA	25.7852774819021	NA	24.95208404513	26.377615706807	25.0635104768763	NA
YAL016W	24.7293313302559	24.4611920678099	25.0684360109575	23.6277460084931	24.0378778868504	24.6188198111825	25.1964786101029	24.7709893002994
YAL017W	23.6432460224814	24.0929527560876	24.8009910760737	24.8574369025438	23.7725487221613	24.7246757139857	24.2410305112336	23.7888577984456
YAL019W	22.5538074235754	22.2899603321764	22.2661306642081	22.2102762901994	21.7083366790559	22.032144064331	23.1334549678865	22.9460881145709
YAL021C	24.1170968092064	23.3492578269875	24.3136469521887	23.0512132251943	23.5586161228007	24.2002466105838	24.0736924944787	24.1415385757908
YAL023C	24.2317656269851	23.7457655005097	25.1259392144762	23.7594615282451	24.2971781384569	24.4793717157881	25.2534296298888	25.0525751874232
YAL025C	25.4959630092865	24.0453787836731	25.2438751418317	24.8041017416903	24.2068931617976	24.2517568596584	25.1917924693235	26.0401305710247
YAL026C	29.6565155761413	28.4185886473088	NA	28.4298433743095	NA	NA	NA	NA
YAL029C	23.1439852198146	23.4912819382044	22.3833046791762	23.6020442453734	23.7744834485852	23.9992161722138	23.2683229009156	24.2400369863112
YAL032C	NA	NA	NA	NA	NA	24.9309554913165	NA	26.5766654733672
YAL034W-A	NA	24.2493488541348	23.4481728587972	24.1360306668302	23.4170251184107	NA	23.5552662245057	23.9917058724366
YAL035W	25.6401898759497	24.7922858097043	25.1730298554104	24.6304766879507	24.5358750465528	25.5266673200411	25.8843139145281	26.0531041016888
YAL036C	25.9894774617336	25.2688605972507	25.1764801920481	24.8119093818286	24.7753156577263	25.0652590727759	25.2761078154996	26.3210792959011
YAL038W	29.9457060960096	29.8666745457331	30.1110593929258	29.9474561393075	29.7966573728833	30.1031192433696	29.8003967073769	30.1827808428468
YAL039C	NA	24.379008941042	25.397072232944	25.532914321912	23.8195129925793	25.4895316779752	24.1529516157272	24.610789097963
YAL041W	NA	NA	25.7498980517795	NA	25.7791386941301	25.5438707619	NA	27.1066294450622
YAL042W	24.0353769898555	22.1811118785264	24.3402104414657	22.9265021489613	22.9639699806075	23.9254525888694	23.0998210647119	24.1669423152032
YAL043C	25.5298589791261	24.7646607043949	24.7372330988629	24.7287488709572	NA	23.8491891666442	25.7353333230456	24.1391294055681
YAL044C	27.8408604986282	29.8417617770482	27.872405926143	28.8122139288471	29.0018465009714	28.3937945755197	28.1637736590416	28.9135848877452
YAL044W-A	23.2705032978838	23.1853003094221	24.8506475207469	24.3352545147478	23.5707476377085	24.9206737544289	23.2780287416235	24.3301769911161
YAL046C	23.2903177263376	23.8964820609326	23.6482464984137	24.7357269842111	24.0528920117869	24.7886407685396	23.4279974462667	24.1604824718698
YAL049C	23.5794964571518	23.6627535346469	24.8481354549571	24.6914188975743	25.3016783816377	25.4117480762213	24.2992093976701	25.5494539547023
YAL053W	24.0192253092748	23.9209488850721	24.7850788728319	25.5911585862216	24.6367081392824	24.4475236203518	24.3732041277885	23.9894643070614
YAL059W	24.3794755233343	24.2413127927301	25.0116753468984	24.2140879682016	23.4079236753808	25.1018564511459	25.845332667733	24.9233023777908
YAL060W	23.1973689223517	24.9083935473963	23.7607815747432	24.9105372622311	25.7564179590601	27.0397348582426	23.2399866783992	24.8002078232974
YAL061W	NA	NA	NA	25.4222611165552	NA	25.2647983392349	25.2573413184725	NA
YAR002C-A	27.5548219244982	26.3800876735336	27.227104078953	26.9264527046387	26.4044997121038	26.6165488771204	27.6468393150317	27.7502306891078
YAR002W	23.8879896308516	24.3746367644413	24.4241734383155	23.8372480823927	23.1301655204779	23.3913700820115	23.3220349111191	25.1256551025401
YAR007C	25.4917303569406	25.5695663939394	26.1644757094991	25.8264250015372	25.1035361451865	25.8807580478027	25.210057515101	26.3995554208828
YAR014C	24.7891732747076	24.7922559907085	24.2767294701665	24.2069618616934	24.050992746714	24.4514855405625	24.7298238562288	24.7748746396941
YAR015W	26.1510801068516	26.8002959633403	26.9107779735997	26.3817900352486	26.4493093112049	25.819182848348	26.8665011105455	26.4353825211119
YAR042W	22.7933203944278	23.0145086632143	23.4731097238864	23.2115606005688	23.4239977794994	24.6816874475984	22.7455829611392	23.0492197413766
YBL001C	23.6500098965575	25.8053494463989	25.7189404773229	26.3544732262693	25.711382236963	27.0609723745119	24.0300515030031	26.7535761620597
YBL004W	22.2660757355924	23.723010408614	22.9365201217639	22.7516785680685	22.2792280912351	24.2742581612235	22.9558309629169	23.1015187339049
