Protein	IRA2_IRA2-1	IRA2_IRA2-2	IRA2_IRA2-3	POP1_POP1-1	POP1_POP1-2	POP1_POP1-3	RAS21_RAS21-1	RAS21_RAS21-2	RAS21_RAS21-3	RAS22_RAS22-1	RAS22_RAS22-2	RAS22_RAS22-3	SAP155_SAP155-1	SAP155_SAP155-2	SAP155_SAP155-3	SIT4_SIT4-1	SIT4_SIT4-2	SIT4_SIT4-3	SSY5_SSY5-1	SSY5_SSY5-2	SSY5_SSY5-3	WT_WT-1	WT_WT-2	WT_WT-3
Q0045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.337129576755	26.5848415891204	25.8181751721166	NA	NA	NA	NA	NA	NA
Q0250	25.1268023453325	24.729918186503	24.5772572898524	25.6372379350845	25.797298091482	25.0851549558968	NA	NA	NA	25.8327534521561	26.2330454874849	25.2038858926012	25.4173754511485	26.7407058282698	24.9466890935555	27.9020495625718	27.7190318727723	28.2075938487995	24.6145097180222	NA	24.8105349865362	25.3503740770098	25.678752456972	25.2038906767837
R0030W	NA	25.9342005828114	NA	NA	NA	NA	NA	25.3269781959218	25.5758293214591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R0040C	24.9531866504876	24.7921751905382	25.7005450374993	24.2720973433181	24.6190315537146	23.9839277216389	24.7126841636248	24.7505686391555	24.3045566599729	NA	24.161121067995	24.6268942845195	23.9908029658275	23.9440103615914	NA	NA	NA	24.1378656149297	25.0370912901065	25.7960606959167	23.5069973348913	24.6290188894888	25.4109035058147	24.4384402256572
YAL003W	29.2160191353941	28.9421366251705	29.1445673623622	27.9605792063804	28.3967875551734	28.2944618755499	28.5469915328624	28.4470673590051	28.8360908942371	28.5304799616694	28.641467754116	28.6540754141889	27.9386931239677	28.237694788711	28.482730427792	28.2031562811954	28.3670222049434	28.8041171313515	28.9392245197193	28.677523832358	28.7632265770441	29.1576844267922	29.292534828613	28.622267165728
YAL005C	26.3550717629768	26.084684000759	26.4187061523051	26.9195720734429	27.0962074568604	27.082370719763	27.2765797099587	27.5993593712911	27.2703247969965	28.1142337508242	28.0490429014216	28.1806625774552	27.7961006355069	27.94355125343	27.864436361886	28.3341990796082	28.4395810830494	28.3505944869716	26.1521617501392	26.4188974037155	26.5649222896661	27.7602089396504	27.429329685529	27.2256167581715
YAL007C	NA	NA	25.158435079019	NA	25.9158636690718	24.6900081242727	25.2929497501939	25.618295904517	25.5062427109404	NA	24.8424697735585	NA	NA	NA	NA	24.7574136907438	NA	NA	26.6151590918524	26.3169094659669	25.4873956329948	NA	25.2886407788462	25.7902327327923
YAL012W	28.6128211635425	28.1952667982638	28.5750215658819	28.0922883804399	28.1098846194088	27.8406514124006	28.7267785806577	28.2981825571584	28.6064342725223	28.2917159210075	28.5051786925135	28.1978358794354	28.0380604616715	28.3369431733178	28.1642115275368	28.60278103053	28.6225552210926	28.7842941469526	28.8056894184026	28.8755839121618	28.709528061351	28.72503945018	28.7511645416173	28.346830189792
YAL013W	NA	NA	NA	NA	25.6413589833268	NA	NA	26.2228786037171	NA	NA	NA	NA	NA	NA	NA	25.614920945384	26.1235718400178	NA	NA	NA	NA	NA	NA	NA
YAL014C	NA	26.3391643318298	NA	NA	NA	NA	NA	NA	25.7852774819021	NA	NA	NA	NA	24.95208404513	NA	NA	26.8174442798985	25.9377871337155	NA	25.0635104768763	NA	NA	NA	NA
YAL016W	24.0478285153295	25.0045501479183	24.7293313302559	24.4611920678099	24.3959683822387	24.5838144440863	24.5923496278542	25.1825947776214	25.0684360109575	23.6277460084931	23.6261107953904	24.0831903820548	23.4974130561251	24.1702262553208	24.0378778868504	24.6721945340223	24.5654450883426	NA	25.1964786101029	25.3272482719321	24.9468990338401	24.6918924096674	24.7709893002994	25.2004630305646
YAL017W	24.3593112674226	NA	22.9271807775402	24.3685278869106	23.688704456498	24.0929527560876	24.8009910760737	23.7767778896715	24.840639845371	24.8574369025438	25.122401354035	24.0973467379378	24.4348497118043	NA	23.1102477325182	24.7246757139857	24.0402312448604	25.0370084686888	NA	24.2410305112336	NA	23.9772870917934	23.7888577984456	22.9994498952577
YAL019W	NA	23.1186447630219	21.9889700841289	NA	NA	22.2899603321764	22.276749356304	22.2661306642081	22.2189967561911	22.4278607872114	NA	21.9926917931873	NA	NA	21.7083366790559	21.994922083913	22.0364433754511	22.032144064331	NA	23.1334549678865	NA	22.6624012923299	24.4529483345402	22.9460881145709
YAL021C	24.1170968092064	24.0847375066878	24.130767744397	NA	23.503774277627	23.1947413763479	23.5226188059381	24.3136469521887	24.6417043466449	23.0512132251943	NA	NA	NA	NA	23.5586161228007	NA	24.3843501470114	24.0161430741562	24.8859378277467	24.0736924944787	23.8982087643359	24.1415385757908	24.5648412621025	24.0555751673987
YAL023C	24.2317656269851	23.9789018690551	24.9123290881337	24.3948166125166	23.7457655005097	23.6551799219873	25.5421324420131	24.1910159310963	25.1259392144762	22.7529916754589	24.1761491961296	23.7594615282451	24.2971781384569	24.5853724505493	24.1771192883653	24.820566506138	24.2291303580939	24.4793717157881	25.2534296298888	25.4575278262799	25.1453255694132	24.4846922965938	25.0525751874232	25.5275898995601
YAL025C	25.444723896878	25.4959630092865	25.6908065281803	23.1951141567996	25.1425709490237	24.0453787836731	25.2438751418317	24.839338899884	25.7971948359313	24.3311758541814	24.8041017416903	25.1660326177812	24.0045694714281	24.6705392841344	24.2068931617976	24.2504754171299	24.2517568596584	24.7520194376035	24.5801045505248	25.1917924693235	25.195300381966	25.4096098595834	26.4279960644561	26.0401305710247
YAL026C	NA	30.020715739292	29.2923154129906	NA	NA	28.4185886473088	NA	NA	NA	28.5802248873826	NA	28.2794618612364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL029C	NA	22.4239118470707	23.8640585925586	23.1509114343407	23.4912819382044	23.4989066338164	21.9879533444258	NA	22.7786560139267	23.7805179396835	23.5633041935138	23.6020442453734	23.3760474122287	23.8545437833222	23.7744834485852	23.8903517442692	23.9992161722138	24.7119405236793	23.1969029271217	23.2683229009156	23.7599846096512	23.7714760874343	NA	24.7085978851881
YAL032C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.9309554913165	NA	NA	NA	NA	NA	26.2277206926213	26.9256102541131
YAL034W-A	NA	NA	NA	24.2493488541348	NA	NA	23.4481728587972	23.3722252748825	25.0633573827225	23.7544658462625	NA	24.5175954873979	NA	NA	23.4170251184107	NA	NA	NA	23.7460950539237	NA	23.3644373950876	23.9917058724366	23.8313585948974	24.2379707450463
YAL035W	25.6401898759497	25.5802828151155	25.7867519509093	24.7034206240374	24.857907321479	24.7922858097043	25.1730298554104	25.0761995946617	25.428013031369	24.912442381655	24.6304766879507	24.5827110188461	24.2825217842529	24.5358750465528	24.6107534057198	25.5232902599832	25.5266673200411	25.5771072386982	25.797608313733	25.9873584641358	25.8843139145281	25.4105293373228	26.1160620399272	26.0531041016888
YAL036C	25.9894774617336	25.9171595975908	25.9941036951807	25.0431509855015	25.2688605972507	25.2863431166612	25.1764801920481	25.1435639846248	25.2305770256897	24.6836537145542	24.9406325605568	24.8119093818286	24.8256542142238	24.7753156577263	24.6400646680037	25.0636354527575	25.0652590727759	25.6280578227715	25.2761078154996	25.5971470520543	25.2441817069129	25.5910767397807	26.4989090764534	26.3210792959011
YAL038W	29.9973131362241	29.7318604953821	29.9457060960096	29.6101505148755	29.9551626837232	29.8666745457331	30.1110593929258	29.94516598025	30.1251551247121	29.7387784861476	30.0113697320291	29.9474561393075	29.7966573728833	29.9198262388495	29.6826483923304	30.1031192433696	30.0472982900645	30.2289872224517	29.8003967073769	29.9404648933996	29.7764672687634	30.2591946485715	30.1827808428468	30.0524687474266
YAL039C	NA	NA	NA	24.5120288370265	24.2459890450576	NA	25.4091935980956	25.397072232944	25.2924959776543	24.7735358486032	25.6092020966051	25.532914321912	23.8195129925793	23.5483379794696	24.4295662983882	25.4895316779752	24.9801912584842	25.9245314589871	24.1529516157272	24.5158895912079	23.5948963377306	NA	25.1817409889453	24.0398372069808
YAL041W	NA	NA	NA	NA	NA	NA	25.8282759885753	NA	25.6715201149838	NA	NA	NA	NA	25.7791386941301	NA	NA	25.5438707619	NA	NA	NA	NA	26.8383244174629	NA	27.3749344726614
YAL042W	24.6429714791878	24.0353769898555	23.3751300149964	21.6995416315534	22.9405601117261	22.1811118785264	24.4462376674466	23.2554594929133	24.3402104414657	22.7140137650276	22.9265021489613	23.0502359186914	22.9639699806075	23.4759542801914	22.7021149790209	23.4716319060047	23.9254525888694	24.4004078712867	22.8463683139546	23.5536528764031	23.0998210647119	21.554881884209	24.1669423152032	24.7853560232225
YAL043C	25.0951123461171	25.9646056121352	NA	24.7646607043949	24.6861091126897	24.8724608095749	24.3543076509426	25.1201585467832	NA	24.5151328531087	NA	24.9423648888058	NA	NA	NA	NA	NA	23.8491891666442	26.6771557814388	24.7935108646523	NA	NA	NA	24.1391294055681
YAL044C	27.8408604986282	27.8491971366662	27.7923895320984	29.8417617770482	29.9338671634345	29.7464815027699	27.8458649490098	27.919968355452	27.872405926143	28.7081068671174	28.8122139288471	28.9070731630944	29.0018465009714	28.8653490966207	29.2218205882292	28.2372294839801	28.4987356013624	28.3937945755197	28.4864017972747	27.7017334594412	28.1637736590416	28.5503592660101	28.9135848877452	29.0473870302923
YAL044W-A	NA	24.0314069677075	22.5095996280602	22.8148053991359	25.2151966520752	23.1853003094221	24.8506475207469	22.9012208102813	25.4038320941622	24.3352545147478	24.0749304270263	24.6260750314802	NA	23.1427246205553	23.9987706548617	23.0898701540346	24.9206737544289	25.3065979143414	23.2780287416235	24.6537617681627	22.9698627687543	23.847454983146	24.3301769911161	24.6569176474491
YAL046C	22.4247862264459	23.2903177263376	23.4979112552774	23.2043455480874	24.2972386049183	23.8964820609326	23.8396424326797	23.4568505641476	NA	24.3045047686843	24.7357269842111	24.8176944235732	24.0528920117869	23.7793188742801	24.3257883659328	24.7886407685396	24.5914001116324	25.5157181438763	23.4279974462667	22.7010077112351	24.7693242388892	NA	24.2892881932053	24.0316767505343
YAL049C	23.5238599686205	24.2974532608529	23.5794964571518	24.5433385956028	23.6627535346469	23.0308790068481	24.8481354549571	24.4088880622537	25.3246431561366	23.8909746071872	25.7032879200779	24.6914188975743	25.3016783816377	25.3623055368046	22.9538476391654	25.4117480762213	25.3251030408026	25.9003177265804	22.8197854150269	24.2992093976701	24.3683977596226	24.8080153597458	26.27913344548	25.5494539547023
YAL053W	24.1003244937391	NA	23.9381261248104	23.9209488850721	NA	NA	24.143819842187	24.7850788728319	25.2013092114726	25.5911585862216	25.866226334813	24.1717968691602	24.6367081392824	NA	NA	24.4376741501493	24.4573730905544	NA	24.3732041277885	24.3135472512487	24.4013269173728	NA	23.8650849834114	24.1138436307114
YAL059W	24.3794755233343	24.5415208141621	24.0524985084684	25.0076320548563	24.1895922552471	24.2413127927301	23.598335758634	25.0831534541024	25.0116753468984	24.2140879682016	23.7428585398204	24.3826705640632	23.1905289287786	24.1536678704599	23.4079236753808	25.6025347517013	24.0362019622104	25.1018564511459	23.7703796734954	25.845332667733	25.8979881670664	24.3576711516079	24.9233023777908	25.7647657300283
YAL060W	22.8647314408657	23.4822082190841	23.1973689223517	24.9083935473963	24.7524674784269	25.1509721821376	24.3248511496259	21.7578576824856	23.7607815747432	24.9105372622311	24.9612465296902	24.2128487459577	25.7564179590601	26.2893811944672	25.6873893172842	26.9431178607111	27.0397348582426	27.1270414619893	22.7449431164119	23.5505287965767	23.2399866783992	24.220505757904	24.8020951036439	24.8002078232974
YAL061W	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.3259500564523	25.2543314089667	25.4222611165552	NA	NA	NA	NA	NA	25.2647983392349	25.2573413184725	NA	NA	NA	NA	NA
YAR002C-A	27.5548219244982	27.0120880970027	27.6715086050371	25.7501119401285	26.3800876735336	26.7613159527963	27.1959729282844	27.227104078953	27.4675644899229	26.9264527046387	27.2262867440726	26.5302240560764	26.4044997121038	26.7812277515313	26.1543888863255	26.6604387789578	26.2866175542279	26.6165488771204	27.5142606789077	27.8854809430161	27.6468393150317	26.4933139087329	27.7951798625158	27.7502306891078
YAR002W	24.5522605765942	23.7344756812733	23.8879896308516	24.4981734894603	24.3746367644413	24.2725066022347	23.8535714691657	24.4241734383155	24.4580239896812	23.2542831234188	23.8372480823927	24.6553003419517	23.1301655204779	23.0721985835544	24.2761971133892	23.3913700820115	23.2621965751057	24.3697517019852	23.1962123152691	23.3238642325323	23.3220349111191	25.1256551025401	25.5398559612498	25.0853532800542
YAR007C	25.6455732101183	25.4917303569406	25.4551476786833	25.4379358845898	26.0565238943002	25.5695663939394	26.2510193721304	25.6494198396491	26.1644757094991	25.8264250015372	26.0623332128765	25.6619277056257	25.0191229338327	25.2195990561687	25.1035361451865	25.8807580478027	25.475408340636	26.0090591183582	25.1149097516556	25.5431783437936	25.210057515101	25.9007868730234	26.6545916466784	26.3995554208828
YAR014C	24.940572242094	24.7891732747076	24.2413171471623	24.1332132059785	24.8294228926594	24.7922559907085	24.0866766965933	NA	24.4667822437397	24.2069618616934	24.0993043338606	24.776012183907	24.0130303893711	24.050992746714	24.185909795772	NA	24.2756020448577	24.6273690362673	NA	25.0262880715147	24.433359640943	23.7000868214978	24.7748746396941	25.5679552182173
YAR015W	26.2852224917294	26.1510801068516	25.9840496860643	26.9373876828836	26.692224473669	26.8002959633403	26.9107779735997	26.3933208019422	26.9285067054039	25.9050851609838	26.6237505250289	26.3817900352486	26.4245872012825	26.4666294308192	26.4493093112049	25.9133883003917	25.7446187368866	25.819182848348	26.5056820093904	27.122025431576	26.8665011105455	25.9453265123107	27.0566480380733	26.4353825211119
YAR042W	NA	22.7096688160041	22.8769719728515	23.0145086632143	23.7879432344095	22.9634980452499	23.1292721393617	23.4731097238864	23.6081714182942	23.2115606005688	23.4541947164972	22.7237566005565	22.8028467301352	23.9036105340876	23.4239977794994	24.8890328088011	24.6816874475984	24.6110966998319	22.6136878135126	23.3053343568608	22.7455829611392	23.0492197413766	23.0058390144169	24.4696880345889
YBL001C	25.7023146051441	23.6500098965575	23.5973513316997	25.8053494463989	26.9603521054678	24.9597490406844	26.0888497593891	25.3866488884794	25.7189404773229	26.5442534059553	26.3544732262693	24.5979951607656	24.5483923872109	25.711382236963	25.7794472203454	27.0609723745119	27.252226385766	26.5680426869319	24.344386256198	23.6152874519101	24.0300515030031	26.7535761620597	27.1260245678008	26.3361578369188
YBL004W	21.5292663119464	24.0214264667688	22.2660757355924	23.723010408614	24.458031180431	23.0310961120216	20.7908497956492	22.9365201217639	23.0405627727606	22.7516785680685	22.3707930929912	24.4212643559856	22.2792280912351	24.017599723763	21.94277211212	24.2742581612235	24.2328170228446	24.3993747722528	23.2182727499115	22.9558309629169	22.08889621157	24.4286845802052	22.3278221997889	23.1015187339049
YBL006C	NA	NA	27.7571113251601	27.4655344748559	NA	27.8035752738413	27.839996305735	29.2392238962652	NA	27.5941359431643	NA	NA	28.0591238678937	NA	NA	27.8173087572552	27.993932190273	NA	28.112378872125	NA	28.1187102522862	NA	28.6432892556504	NA
