geneSys	gene	log2FC_IRA2	log2FC_RAS21	log2FC_RAS22	log2FC_POP1	log2FC_SIT4	log2FC_SSY5	adj.p_IRA2	adj.p_RAS21	adj.p_RAS22	adj.p_POP1	adj.p_SIT4	adj.p_SSY5	log2FC.i_IRA2	log2FC.i_RAS21	log2FC.i_RAS22	log2FC.i_POP1	log2FC.i_SIT4	log2FC.i_SSY5	adj.p.i_IRA2	adj.p.i_RAS21	adj.p.i_RAS22	adj.p.i_POP1	adj.p.i_SIT4	adj.p.i_SSY5
Q0250	COX2	-0.599679796359229	-Inf	0.34555587382559	0.09555792389925	2.53188602445937	-0.698483384642682	0.312102666886551	NA	0.560664878085202	0.896088587670707	4.26485433635373e-4	0.282721699959915	-0.599679796359229	-12.1860570086032	0.34555587382559	0.09555792389925	2.53188602445937	-0.698483384642682	0.312102666886551	0.0244926	0.560664878085202	0.896088587670707	4.26485433635373e-4	0.282721699959915
R0040C	NA	0.322514752521454	-0.236851052735841	-0.432113197396295	-0.534435334096409	-0.688255258723839	-0.0460711000153965	0.687039496149868	0.782616473107988	0.602160106923004	0.466728032605234	0.529924808619716	0.951484899421952	0.322514752521454	-0.236851052735841	-0.432113197396295	-0.534435334096409	-0.688255258723839	-0.0460711000153965	0.687039496149868	0.782616473107988	0.602160106923004	0.466728032605234	0.529924808619716	0.951484899421952
YAL003W	EFB1	0.076745567264577	-0.414112211676199	-0.415487763719646	-0.806885928009863	-0.566063601214321	-0.230837164003944	0.81799213667763	0.143390122376622	0.119762367767521	0.00689498143092687	0.041266393397654	0.418281163280032	0.076745567264577	-0.414112211676199	-0.415487763719646	-0.806885928009863	-0.566063601214321	-0.230837164003944	0.81799213667763	0.143390122376622	0.119762367767521	0.00689498143092687	0.041266393397654	0.418281163280032
YAL005C	SSA1	-1.18556448910335	-0.089630501701554	0.642927948783369	-0.439001711094874	0.903073088759439	-1.09305797994334	8.84345385247324e-6	0.690830291367163	0.00171828668042737	0.0250543588301832	9.43207632329912e-5	1.91169231576233e-5	-1.18556448910335	-0.089630501701554	0.642927948783369	-0.439001711094874	0.903073088759439	-1.09305797994334	8.84345385247324e-6	0.690830291367163	0.00171828668042737	0.0250543588301832	9.43207632329912e-5	1.91169231576233e-5
YAL007C	ERP2	-0.381001676800238	-0.066940633935491	-0.696966982260767	-0.236500859147009	-0.782023065075423	0.600384641118761	0.735166126808526	0.944480526001657	0.489029236063556	0.794920916504251	0.457670115260441	0.428848430509972	-0.381001676800238	-0.066940633935491	-0.696966982260767	-0.236500859147009	-0.782023065075423	0.600384641118761	0.735166126808526	0.944480526001657	0.489029236063556	0.794920916504251	0.457670115260441	0.428848430509972
YAL012W	CYS3	-0.146641551300331	-0.0638795904169562	-0.276101229544268	-0.593403256446651	0.0621987389953193	0.189255736775391	0.511572733603362	0.803610125091203	0.166432832870292	0.00747786184477166	0.809902242961295	0.37311365149363	-0.146641551300331	-0.0638795904169562	-0.276101229544268	-0.593403256446651	0.0621987389953193	0.189255736775391	0.511572733603362	0.803610125091203	0.166432832870292	0.00747786184477166	0.809902242961295	0.37311365149363
YAL016W	TPD3	-0.293878249009264	0.0600118919671962	-1.10876585153106	-0.4074566154655	-0.268961768994677	0.269093725114549	0.436176883282765	0.902319091808543	0.00324526754266332	0.251859220116276	0.536267826695822	0.464115543400681	-0.293878249009264	0.0600118919671962	-1.10876585153106	-0.4074566154655	-0.268961768994677	0.269093725114549	0.436176883282765	0.902319091808543	0.00324526754266332	0.251859220116276	0.536267826695822	0.464115543400681
YAL017W	PSK1	0.0547144273158388	0.884271341873208	1.10386340300663	0.461530104666505	1.01210688067939	0.652498916068033	0.96425277977252	0.252350865209936	0.126439975574502	0.550395992252567	0.177203565178222	0.549793037671747	0.0547144273158388	0.884271341873208	1.10386340300663	0.461530104666505	1.01210688067939	0.652498916068033	0.96425277977252	0.252350865209936	0.126439975574502	0.550395992252567	0.177203565178222	0.549793037671747
YAL019W	FUN30	-0.800005156904899	-1.0998536549126	-1.14353629028096	-1.06385224830397	-1.33264273924863	-0.220357612593857	0.331765253214897	0.146104858228071	0.149222067332466	0.295341480582701	0.0787912841468873	0.844370139308672	-0.800005156904899	-1.0998536549126	-1.14353629028096	-1.06385224830397	-1.33264273924863	-0.220357612593857	0.331765253214897	0.146104858228071	0.149222067332466	0.295341480582701	0.0787912841468873	0.844370139308672
YAL021C	CCR4	-0.143117648333601	-0.0946616335067792	-1.20277177656969	-0.904727174776519	-0.0537383911801565	0.031961360423067	0.797197961901317	0.874836415568121	0.07220779796401	0.0947680728093302	0.937482457034889	0.950351712926353	-0.143117648333601	-0.0946616335067792	-1.20277177656969	-0.904727174776519	-0.0537383911801565	0.031961360423067	0.797197961901317	0.874836415568121	0.07220779796401	0.0947680728093302	0.937482457034889	0.950351712926353
