RUN	Protein	LogIntensities	NumMeasuredFeature	MissingPercentage	more50missing	NumImputedFeature	originalRUN	GROUP	GROUP_ORIGINAL	SUBJECT_ORIGINAL	SUBJECT_NESTED	SUBJECT
16	Q0045	26.337129576755	2	0.333333333333333	FALSE	1	19	6	SIT4	SIT4-1	6.19	19
17	Q0045	26.5848415891204	3	0	FALSE	0	20	6	SIT4	SIT4-2	6.20	20
18	Q0045	25.8181751721166	1	0.666666666666667	TRUE	2	21	6	SIT4	SIT4-3	6.21	21
1	Q0250	25.1268023453325	2	0.5	TRUE	2	4	1	IRA2	IRA2-1	1.4	4
2	Q0250	24.729918186503	1	0.75	TRUE	3	5	1	IRA2	IRA2-2	1.5	5
3	Q0250	24.5772572898524	1	0.75	TRUE	3	6	1	IRA2	IRA2-3	1.6	6
4	Q0250	25.6372379350845	2	0.5	TRUE	2	16	2	POP1	POP1-1	2.16	16
5	Q0250	25.797298091482	2	0.5	TRUE	2	17	2	POP1	POP1-2	2.17	17
6	Q0250	25.0851549558968	1	0.75	TRUE	3	18	2	POP1	POP1-3	2.18	18
10	Q0250	25.8327534521561	2	0.5	TRUE	2	10	4	RAS22	RAS22-1	4.10	10
11	Q0250	26.2330454874849	3	0.25	FALSE	1	11	4	RAS22	RAS22-2	4.11	11
12	Q0250	25.2038858926012	1	0.75	TRUE	3	12	4	RAS22	RAS22-3	4.12	12
13	Q0250	25.4173754511485	1	0.75	TRUE	3	22	5	SAP155	SAP155-1	5.22	22
14	Q0250	26.7407058282698	3	0.25	FALSE	1	23	5	SAP155	SAP155-2	5.23	23
15	Q0250	24.9466890935555	1	0.75	TRUE	3	24	5	SAP155	SAP155-3	5.24	24
16	Q0250	27.9020495625718	4	0	FALSE	0	19	6	SIT4	SIT4-1	6.19	19
17	Q0250	27.7190318727723	3	0.25	FALSE	1	20	6	SIT4	SIT4-2	6.20	20
18	Q0250	28.2075938487995	4	0	FALSE	0	21	6	SIT4	SIT4-3	6.21	21
19	Q0250	24.6145097180222	1	0.75	TRUE	3	13	7	SSY5	SSY5-1	7.13	13
21	Q0250	24.8105349865362	1	0.75	TRUE	3	15	7	SSY5	SSY5-3	7.15	15
22	Q0250	25.3503740770098	1	0.75	TRUE	3	1	8	WT	WT-1	8.1	1
23	Q0250	25.678752456972	2	0.5	TRUE	2	2	8	WT	WT-2	8.2	2
24	Q0250	25.2038906767837	1	0.75	TRUE	3	3	8	WT	WT-3	8.3	3
2	R0030W	25.9342005828114	1	0	FALSE	0	5	1	IRA2	IRA2-2	1.5	5
8	R0030W	25.3269781959218	1	0	FALSE	0	8	3	RAS21	RAS21-2	3.8	8
9	R0030W	25.5758293214591	1	0	FALSE	0	9	3	RAS21	RAS21-3	3.9	9
1	R0040C	24.9531866504876	4	0.6	TRUE	6	4	1	IRA2	IRA2-1	1.4	4
2	R0040C	24.7921751905382	4	0.6	TRUE	6	5	1	IRA2	IRA2-2	1.5	5
3	R0040C	25.7005450374993	7	0.3	FALSE	3	6	1	IRA2	IRA2-3	1.6	6
4	R0040C	24.2720973433181	3	0.7	TRUE	7	16	2	POP1	POP1-1	2.16	16
5	R0040C	24.6190315537146	4	0.6	TRUE	6	17	2	POP1	POP1-2	2.17	17
6	R0040C	23.9839277216389	2	0.8	TRUE	8	18	2	POP1	POP1-3	2.18	18
7	R0040C	24.7126841636248	5	0.5	TRUE	5	7	3	RAS21	RAS21-1	3.7	7
8	R0040C	24.7505686391555	5	0.5	TRUE	5	8	3	RAS21	RAS21-2	3.8	8
9	R0040C	24.3045566599729	3	0.7	TRUE	7	9	3	RAS21	RAS21-3	3.9	9
11	R0040C	24.161121067995	3	0.7	TRUE	7	11	4	RAS22	RAS22-2	4.11	11
12	R0040C	24.6268942845195	4	0.6	TRUE	6	12	4	RAS22	RAS22-3	4.12	12
13	R0040C	23.9908029658275	3	0.7	TRUE	7	22	5	SAP155	SAP155-1	5.22	22
14	R0040C	23.9440103615914	3	0.7	TRUE	7	23	5	SAP155	SAP155-2	5.23	23
18	R0040C	24.1378656149297	3	0.7	TRUE	7	21	6	SIT4	SIT4-3	6.21	21
19	R0040C	25.0370912901065	5	0.5	TRUE	5	13	7	SSY5	SSY5-1	7.13	13
