desiredFC	numSample	FDR	power	CV
1.25	3	0.05	0.01	0.092
1.275	3	0.05	0.01	0.09
1.3	3	0.05	0.01	0.088
1.325	3	0.05	0.01	0.086
1.35	3	0.05	0.01	0.085
1.375	3	0.05	0.01	0.083
1.4	3	0.05	0.01	0.082
1.425	3	0.05	0.01	0.08
1.45	3	0.05	0.01	0.079
1.475	3	0.05	0.01	0.078
1.5	3	0.05	0.01	0.076
1.525	3	0.05	0.01	0.075
1.55	3	0.05	0.01	0.074
1.575	3	0.05	0.01	0.073
1.6	3	0.05	0.01	0.072
1.625	3	0.05	0.01	0.07
1.65	3	0.05	0.01	0.069
1.675	3	0.05	0.01	0.068
1.7	3	0.05	0.01	0.067
1.725	3	0.05	0.02	0.066
1.75	3	0.05	0.02	0.065
1.775	3	0.05	0.03	0.064
1.8	3	0.05	0.04	0.064
1.825	3	0.05	0.05	0.063
1.85	3	0.05	0.06	0.062
1.875	3	0.05	0.08	0.061
1.9	3	0.05	0.09	0.06
1.925	3	0.05	0.11	0.059
1.95	3	0.05	0.13	0.059
1.975	3	0.05	0.15	0.058
2	3	0.05	0.17	0.057
1.25	2	0.05	0.01	0.137
1.275	2	0.05	0.01	0.135
1.3	2	0.05	0.01	0.132
1.325	2	0.05	0.01	0.13
1.35	2	0.05	0.01	0.127
1.375	2	0.05	0.01	0.125
1.4	2	0.05	0.01	0.123
1.425	2	0.05	0.01	0.12
1.45	2	0.05	0.01	0.118
1.475	2	0.05	0.01	0.116
1.5	2	0.05	0.01	0.114
1.525	2	0.05	0.01	0.113
1.55	2	0.05	0.01	0.111
1.575	2	0.05	0.01	0.109
1.6	2	0.05	0.01	0.107
1.625	2	0.05	0.01	0.106
1.65	2	0.05	0.01	0.104
1.675	2	0.05	0.01	0.102
1.7	2	0.05	0.01	0.101
1.725	2	0.05	0.01	0.099
1.75	2	0.05	0.01	0.098
1.775	2	0.05	0.01	0.097
1.8	2	0.05	0.01	0.095
1.825	2	0.05	0.01	0.094
1.85	2	0.05	0.01	0.093
1.875	2	0.05	0.01	0.092
1.9	2	0.05	0.01	0.09
1.925	2	0.05	0.01	0.089
1.95	2	0.05	0.02	0.088
1.975	2	0.05	0.02	0.087
2	2	0.05	0.03	0.086
