desiredFC	numSample	FDR	power	CV
1.25	87	0.05	0.95	0.003
1.275	73	0.05	0.95	0.004
1.3	63	0.05	0.95	0.004
1.325	55	0.05	0.95	0.005
1.35	48	0.05	0.95	0.005
1.375	43	0.05	0.95	0.006
1.4	38	0.05	0.95	0.006
1.425	35	0.05	0.95	0.007
1.45	31	0.05	0.95	0.008
1.475	29	0.05	0.95	0.008
1.5	26	0.05	0.95	0.009
1.525	24	0.05	0.95	0.009
1.55	23	0.05	0.95	0.01
1.575	21	0.05	0.95	0.01
1.6	20	0.05	0.95	0.011
1.625	18	0.05	0.95	0.012
1.65	17	0.05	0.95	0.012
1.675	16	0.05	0.95	0.013
1.7	15	0.05	0.95	0.013
1.725	15	0.05	0.95	0.013
1.75	14	0.05	0.95	0.014
1.775	13	0.05	0.95	0.015
1.8	13	0.05	0.95	0.015
1.825	12	0.05	0.95	0.016
1.85	11	0.05	0.95	0.017
1.875	11	0.05	0.95	0.017
1.9	11	0.05	0.95	0.016
1.925	10	0.05	0.95	0.018
1.95	10	0.05	0.95	0.018
1.975	9	0.05	0.95	0.019
2	9	0.05	0.95	0.019
1.25	76	0.05	0.9	0.004
1.275	64	0.05	0.9	0.004
1.3	55	0.05	0.9	0.005
1.325	48	0.05	0.9	0.005
1.35	42	0.05	0.9	0.006
1.375	37	0.05	0.9	0.007
1.4	33	0.05	0.9	0.007
1.425	30	0.05	0.9	0.008
1.45	27	0.05	0.9	0.009
1.475	25	0.05	0.9	0.009
1.5	23	0.05	0.9	0.01
1.525	21	0.05	0.9	0.011
1.55	20	0.05	0.9	0.011
1.575	18	0.05	0.9	0.012
1.6	17	0.05	0.9	0.013
1.625	16	0.05	0.9	0.013
1.65	15	0.05	0.9	0.014
1.675	14	0.05	0.9	0.015
1.7	13	0.05	0.9	0.016
1.725	13	0.05	0.9	0.015
1.75	12	0.05	0.9	0.016
1.775	11	0.05	0.9	0.018
1.8	11	0.05	0.9	0.017
1.825	10	0.05	0.9	0.019
1.85	10	0.05	0.9	0.019
1.875	10	0.05	0.9	0.018
1.9	9	0.05	0.9	0.02
1.925	9	0.05	0.9	0.02
1.95	8	0.05	0.9	0.022
1.975	8	0.05	0.9	0.022
2	8	0.05	0.9	0.021
1.25	63	0.05	0.8	0.004
1.275	53	0.05	0.8	0.005
1.3	46	0.05	0.8	0.006
1.325	40	0.05	0.8	0.006
1.35	35	0.05	0.8	0.007
1.375	31	0.05	0.8	0.008
1.4	28	0.05	0.8	0.009
1.425	25	0.05	0.8	0.01
1.45	23	0.05	0.8	0.01
1.475	21	0.05	0.8	0.011
1.5	19	0.05	0.8	0.012
1.525	18	0.05	0.8	0.013
1.55	16	0.05	0.8	0.014
1.575	15	0.05	0.8	0.015
1.6	14	0.05	0.8	0.015
1.625	13	0.05	0.8	0.016
1.65	13	0.05	0.8	0.016
1.675	12	0.05	0.8	0.017
1.7	11	0.05	0.8	0.018
1.725	11	0.05	0.8	0.018
1.75	10	0.05	0.8	0.02
1.775	10	0.05	0.8	0.019
1.8	9	0.05	0.8	0.021
1.825	9	0.05	0.8	0.021
1.85	8	0.05	0.8	0.023
1.875	8	0.05	0.8	0.023
1.9	8	0.05	0.8	0.023
1.925	7	0.05	0.8	0.025
1.95	7	0.05	0.8	0.025
1.975	7	0.05	0.8	0.025
2	7	0.05	0.8	0.025
