Protein	Gene	ProteinName	EntrezID	ProteinCopy	Comparison	log2FC	pvalue	adj.pvalue	imputed	iLog2FC	iPvalue	SIT4	IRA2	POP1	RAS22	SAP155	SSY5	WT	RAS21	CMA	Species
Q0045	Q0045	NA	NA	Q0045	SIT4-WT	Inf	NA	0	yes	12.8102300510121	0.0250711	3	0	0	0	0	0	0	0	SIT4	yeast
Q0250	Q0250	NA	NA	Q0250	IRA2-WT	-0.599679796359229	0.148252749760146	0.312102666886551	no	-0.599679796359229	0.312102666886551	3	3	3	3	3	2	3	0	WT	yeast
Q0250	Q0250	NA	NA	Q0250	POP1-WT	0.09555792389925	0.810335035653968	0.896088587670707	no	0.09555792389925	0.896088587670707	3	3	3	3	3	2	3	0	POP1	yeast
Q0250	Q0250	NA	NA	Q0250	SSY5-WT	-0.698483384642682	0.13331868623911	0.282721699959915	no	-0.698483384642682	0.282721699959915	3	3	3	3	3	2	3	0	WT	yeast
Q0250	Q0250	NA	NA	Q0250	RAS22-WT	0.34555587382559	0.391862549199335	0.560664878085202	no	0.34555587382559	0.560664878085202	3	3	3	3	3	2	3	0	RAS22	yeast
Q0250	Q0250	NA	NA	Q0250	SIT4-WT	2.53188602445937	2.03635709552508e-05	0.000426485433635373	no	2.53188602445937	0.000426485433635373	3	3	3	3	3	2	3	0	SIT4	yeast
Q0250	Q0250	NA	NA	Q0250	RAS21-WT	-Inf	NA	0	yes	-12.1860570086032	0.0244926	3	3	3	3	3	2	3	0	WT	yeast
Q0250	Q0250	NA	NA	Q0250	SAP155-WT	0.290584387402757	0.469637486448025	0.594469739486019	no	0.290584387402757	0.594469739486019	3	3	3	3	3	2	3	0	SAP155	yeast
R0030W	R0030W	NA	NA	R0030W	RAS21-WT	Inf	NA	0	yes	6.87002779802567	0.039227	0	1	0	0	0	0	0	2	RAS21	yeast
R0040C	R0040C	NA	NA	R0040C	SSY5-WT	-0.0460711000153965	0.925181831288893	0.951484899421952	no	-0.0460711000153965	0.951484899421952	1	3	3	2	2	3	3	3	WT	yeast
R0040C	R0040C	NA	NA	R0040C	POP1-WT	-0.534435334096409	0.287722587757151	0.466728032605234	no	-0.534435334096409	0.466728032605234	1	3	3	2	2	3	3	3	WT	yeast
R0040C	R0040C	NA	NA	R0040C	RAS22-WT	-0.432113197396295	0.436744013323643	0.602160106923004	no	-0.432113197396295	0.602160106923004	1	3	3	2	2	3	3	3	WT	yeast
R0040C	R0040C	NA	NA	R0040C	IRA2-WT	0.322514752521454	0.514716474984409	0.687039496149868	no	0.322514752521454	0.687039496149868	1	3	3	2	2	3	3	3	IRA2	yeast
R0040C	R0040C	NA	NA	R0040C	RAS21-WT	-0.236851052735841	0.630891066100189	0.782616473107988	no	-0.236851052735841	0.782616473107988	1	3	3	2	2	3	3	3	WT	yeast
R0040C	R0040C	NA	NA	R0040C	SIT4-WT	-0.688255258723839	0.331027321288045	0.529924808619716	no	-0.688255258723839	0.529924808619716	1	3	3	2	2	3	3	3	WT	yeast
R0040C	R0040C	NA	NA	R0040C	SAP155-WT	-0.858714209944124	0.135850925438	0.229616564184367	no	-0.858714209944124	0.229616564184367	1	3	3	2	2	3	3	3	WT	yeast
YAL003W	YAL003W	NA	NA	YAL003W	SIT4-WT	-0.566063601214321	0.0087712934753581	0.041266393397654	no	-0.566063601214321	0.041266393397654	3	3	3	3	3	3	3	3	WT	yeast
YAL003W	YAL003W	NA	NA	YAL003W	RAS22-WT	-0.415487763719646	0.0436784098060254	0.119762367767521	no	-0.415487763719646	0.119762367767521	3	3	3	3	3	3	3	3	WT	yeast
YAL003W	YAL003W	NA	NA	YAL003W	SSY5-WT	-0.230837164003944	0.241338353358604	0.418281163280032	no	-0.230837164003944	0.418281163280032	3	3	3	3	3	3	3	3	WT	yeast
YAL003W	YAL003W	NA	NA	YAL003W	IRA2-WT	0.076745567264577	0.691177093361124	0.81799213667763	no	0.076745567264577	0.81799213667763	3	3	3	3	3	3	3	3	IRA2	yeast
YAL003W	YAL003W	NA	NA	YAL003W	RAS21-WT	-0.414112211676199	0.0442956747469183	0.143390122376622	no	-0.414112211676199	0.143390122376622	3	3	3	3	3	3	3	3	WT	yeast
YAL003W	YAL003W	NA	NA	YAL003W	POP1-WT	-0.806885928009863	0.00060715759283192	0.00689498143092687	no	-0.806885928009863	0.00689498143092687	3	3	3	3	3	3	3	3	WT	yeast
YAL003W	YAL003W	NA	NA	YAL003W	SAP155-WT	-0.804456026887518	0.000623612977471044	0.00308235698680473	no	-0.804456026887518	0.00308235698680473	3	3	3	3	3	3	3	3	WT	yeast
YAL005C	YAL005C	NA	NA	YAL005C	RAS22-WT	0.642927948783369	0.000158362257996369	0.00171828668042737	no	0.642927948783369	0.00171828668042737	3	3	3	3	3	3	3	3	RAS22	yeast
YAL005C	YAL005C	NA	NA	YAL005C	SSY5-WT	-1.09305797994334	3.21678995440777e-07	1.91169231576233e-05	no	-1.09305797994334	1.91169231576233e-05	3	3	3	3	3	3	3	3	WT	yeast
YAL005C	YAL005C	NA	NA	YAL005C	SAP155-WT	0.396310955824001	0.00806606542114396	0.0239799263504366	no	0.396310955824001	0.0239799263504366	3	3	3	3	3	3	3	3	SAP155	yeast
YAL005C	YAL005C	NA	NA	YAL005C	SIT4-WT	0.903073088759439	3.63191233088145e-06	9.43207632329912e-05	no	0.903073088759439	9.43207632329912e-05	3	3	3	3	3	3	3	3	SIT4	yeast
YAL005C	YAL005C	NA	NA	YAL005C	POP1-WT	-0.439001711094874	0.00406994811716688	0.0250543588301832	no	-0.439001711094874	0.0250543588301832	3	3	3	3	3	3	3	3	WT	yeast
YAL005C	YAL005C	NA	NA	YAL005C	IRA2-WT	-1.18556448910335	1.08730989989425e-07	8.84345385247324e-06	no	-1.18556448910335	8.84345385247324e-06	3	3	3	3	3	3	3	3	WT	yeast
YAL005C	YAL005C	NA	NA	YAL005C	RAS21-WT	-0.089630501701554	0.503822091474778	0.690830291367163	no	-0.089630501701554	0.690830291367163	3	3	3	3	3	3	3	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	SSY5-WT	0.600384641118761	0.251853202185013	0.428848430509972	no	0.600384641118761	0.428848430509972	1	1	2	1	0	3	2	3	SSY5	yeast
YAL007C	YAL007C	NA	NA	YAL007C	IRA2-WT	-0.381001676800238	0.570670071354924	0.735166126808526	no	-0.381001676800238	0.735166126808526	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	POP1-WT	-0.236500859147009	0.664507538494617	0.794920916504251	no	-0.236500859147009	0.794920916504251	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	SIT4-WT	-0.782023065075423	0.264446084221159	0.457670115260441	no	-0.782023065075423	0.457670115260441	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	RAS21-WT	-0.066940633935491	0.892218267596311	0.944480526001657	no	-0.066940633935491	0.944480526001657	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	SAP155-WT	-Inf	NA	0	yes	-12.2606664627782	0.0173815	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	RAS22-WT	-0.696966982260767	0.31472371385054	0.489029236063556	no	-0.696966982260767	0.489029236063556	1	1	2	1	0	3	2	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	RAS22-WT	-0.276101229544268	0.0687661875953018	0.166432832870292	no	-0.276101229544268	0.166432832870292	3	3	3	3	3	3	3	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	SSY5-WT	0.189255736775391	0.199770206654061	0.37311365149363	no	0.189255736775391	0.37311365149363	3	3	3	3	3	3	3	3	SSY5	yeast
YAL012W	YAL012W	NA	NA	YAL012W	IRA2-WT	-0.146641551300331	0.315461965098776	0.511572733603362	no	-0.146641551300331	0.511572733603362	3	3	3	3	3	3	3	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	RAS21-WT	-0.0638795904169562	0.657731853975921	0.803610125091203	no	-0.0638795904169562	0.803610125091203	3	3	3	3	3	3	3	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	POP1-WT	-0.593403256446651	0.000687634398674364	0.00747786184477166	no	-0.593403256446651	0.00747786184477166	3	3	3	3	3	3	3	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	SIT4-WT	0.0621987389953193	0.666134459362852	0.809902242961295	no	0.0621987389953193	0.809902242961295	3	3	3	3	3	3	3	3	SIT4	yeast
YAL012W	YAL012W	NA	NA	YAL012W	SAP155-WT	-0.427939673021045	0.00806075190990541	0.0239799263504366	no	-0.427939673021045	0.0239799263504366	3	3	3	3	3	3	3	3	WT	yeast
YAL013W	YAL013W	NA	NA	YAL013W	SIT4-WT	Inf	NA	0	yes	8.35174288736597	0.0154483	2	0	1	0	0	0	0	1	SIT4	yeast
YAL014C	YAL014C	NA	NA	YAL014C	SIT4-WT	Inf	NA	0	yes	10.2251457634367	0.0401452	2	1	0	0	1	1	0	1	SIT4	yeast
YAL016W	YAL016W	NA	NA	YAL016W	SSY5-WT	0.269093725114549	0.284493902805706	0.464115543400681	no	0.269093725114549	0.464115543400681	2	3	3	3	3	3	3	3	SSY5	yeast
YAL016W	YAL016W	NA	NA	YAL016W	RAS21-WT	0.0600118919671962	0.807848581798333	0.902319091808543	no	0.0600118919671962	0.902319091808543	2	3	3	3	3	3	3	3	RAS21	yeast
YAL016W	YAL016W	NA	NA	YAL016W	POP1-WT	-0.4074566154655	0.113523999095434	0.251859220116276	no	-0.4074566154655	0.251859220116276	2	3	3	3	3	3	3	3	WT	yeast
YAL016W	YAL016W	NA	NA	YAL016W	SIT4-WT	-0.268961768994677	0.336793540755058	0.536267826695822	no	-0.268961768994677	0.536267826695822	2	3	3	3	3	3	3	3	WT	yeast
YAL016W	YAL016W	NA	NA	YAL016W	RAS22-WT	-1.10876585153106	0.000365754963987941	0.00324526754266332	no	-1.10876585153106	0.00324526754266332	2	3	3	3	3	3	3	3	WT	yeast
YAL016W	YAL016W	NA	NA	YAL016W	IRA2-WT	-0.293878249009264	0.244187550231253	0.436176883282765	no	-0.293878249009264	0.436176883282765	2	3	3	3	3	3	3	3	WT	yeast
YAL016W	YAL016W	NA	NA	YAL016W	SAP155-WT	-0.985942514078387	0.0010121309458766	0.00454706411930063	no	-0.985942514078387	0.00454706411930063	2	3	3	3	3	3	3	3	WT	yeast
YAL017W	YAL017W	NA	NA	YAL017W	RAS21-WT	0.884271341873208	0.101965019183155	0.252350865209936	no	0.884271341873208	0.252350865209936	3	2	3	3	2	1	3	3	RAS21	yeast
