Protein	Gene	ProteinName	EntrezID	ProteinCopy	IRA2.WT_log2FC	IRA2.WT_adj.pvalue	RAS21.WT_log2FC	RAS21.WT_adj.pvalue	RAS22.WT_log2FC	RAS22.WT_adj.pvalue	POP1.WT_log2FC	POP1.WT_adj.pvalue	SIT4.WT_log2FC	SIT4.WT_adj.pvalue	SAP155.WT_log2FC	SAP155.WT_adj.pvalue	SSY5.WT_log2FC	SSY5.WT_adj.pvalue	NumBR_SIT4	NumBR_IRA2	NumBR_POP1	NumBR_RAS22	NumBR_SAP155	NumBR_SSY5	NumBR_WT	NumBR_RAS21
Q0045	Q0045	NA	NA	Q0045	NA	NA	NA	NA	NA	NA	NA	NA	Inf	0	NA	NA	NA	NA	3	0	0	0	0	0	0	0
Q0250	Q0250	NA	NA	Q0250	-0.599679796359229	0.312102666886551	-Inf	0	0.34555587382559	0.560664878085202	0.09555792389925	0.896088587670707	2.53188602445937	0.000426485433635373	0.290584387402757	0.594469739486019	-0.698483384642682	0.282721699959915	3	3	3	3	3	2	3	0
R0030W	R0030W	NA	NA	R0030W	Inf	0	Inf	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	2
R0040C	R0040C	NA	NA	R0040C	0.322514752521454	0.687039496149868	-0.236851052735841	0.782616473107988	-0.432113197396295	0.602160106923004	-0.534435334096409	0.466728032605234	-0.688255258723839	0.529924808619716	-0.858714209944124	0.229616564184367	-0.0460711000153965	0.951484899421952	1	3	3	2	2	3	3	3
YAL003W	YAL003W	NA	NA	YAL003W	0.076745567264577	0.81799213667763	-0.414112211676199	0.143390122376622	-0.415487763719646	0.119762367767521	-0.806885928009863	0.00689498143092687	-0.566063601214321	0.041266393397654	-0.804456026887518	0.00308235698680473	-0.230837164003944	0.418281163280032	3	3	3	3	3	3	3	3
YAL005C	YAL005C	NA	NA	YAL005C	-1.18556448910335	8.84345385247324e-06	-0.089630501701554	0.690830291367163	0.642927948783369	0.00171828668042737	-0.439001711094874	0.0250543588301832	0.903073088759439	9.43207632329912e-05	0.396310955824001	0.0239799263504366	-1.09305797994334	1.91169231576233e-05	3	3	3	3	3	3	3	3
YAL007C	YAL007C	NA	NA	YAL007C	-0.381001676800238	0.735166126808526	-0.066940633935491	0.944480526001657	-0.696966982260767	0.489029236063556	-0.236500859147009	0.794920916504251	-0.782023065075423	0.457670115260441	-Inf	0	0.600384641118761	0.428848430509972	1	1	2	1	0	3	2	3
YAL012W	YAL012W	NA	NA	YAL012W	-0.146641551300331	0.511572733603362	-0.0638795904169562	0.803610125091203	-0.276101229544268	0.166432832870292	-0.593403256446651	0.00747786184477166	0.0621987389953193	0.809902242961295	-0.427939673021045	0.0239799263504366	0.189255736775391	0.37311365149363	3	3	3	3	3	3	3	3
YAL013W	YAL013W	NA	NA	YAL013W	NA	NA	Inf	0	NA	NA	Inf	0	Inf	0	NA	NA	NA	NA	2	0	1	0	0	0	0	1
YAL014C	YAL014C	NA	NA	YAL014C	Inf	0	Inf	0	NA	NA	NA	NA	Inf	0	Inf	0	Inf	0	2	1	0	0	1	1	0	1
YAL016W	YAL016W	NA	NA	YAL016W	-0.293878249009264	0.436176883282765	0.0600118919671962	0.902319091808543	-1.10876585153106	0.00324526754266332	-0.4074566154655	0.251859220116276	-0.268961768994677	0.536267826695822	-0.985942514078387	0.00454706411930063	0.269093725114549	0.464115543400681	2	3	3	3	3	3	3	3
YAL017W	YAL017W	NA	NA	YAL017W	0.0547144273158388	0.96425277977252	0.884271341873208	0.252350865209936	1.10386340300663	0.126439975574502	0.461530104666505	0.550395992252567	1.01210688067939	0.177203565178222	0.184017126995706	0.829395051338531	0.652498916068033	0.549793037671747	3	2	3	3	2	1	3	3
YAL019W	YAL019W	NA	NA	YAL019W	-0.800005156904899	0.331765253214897	-1.0998536549126	0.146104858228071	-1.14353629028096	0.149222067332466	-1.06385224830397	0.295341480582701	-1.33264273924863	0.0787912841468873	-1.64547590142443	0.0801996749712455	-0.220357612593857	0.844370139308672	3	2	1	2	1	1	3	3
YAL021C	YAL021C	NA	NA	YAL021C	-0.143117648333601	0.797197961901317	-0.0946616335067792	0.874836415568121	-1.20277177656969	0.07220779796401	-0.904727174776519	0.0947680728093302	-0.0537383911801565	0.937482457034889	-0.695368878963274	0.245464976987994	0.031961360423067	0.950351712926353	2	3	2	1	1	3	3	3
YAL023C	YAL023C	NA	NA	YAL023C	-0.647286933134352	0.268626696723818	-0.0685899319971435	0.931365793552106	-1.45875166124783	0.0113847675574942	-1.08969844952116	0.0564459141512111	-0.511929601185682	0.390679354189358	-0.668395835401861	0.190855374941723	0.263808547334924	0.663206201421943	3	3	3	3	3	3	3	3
YAL025C	YAL025C	NA	NA	YAL025C	-0.415414353573107	0.516155543333129	-0.665775872472395	0.280892965629933	-1.19214209380377	0.0385128856653696	-1.83155753518926	0.00447608450764565	-1.54116159355747	0.011255017794932	-1.66524485923468	0.00380021863789555	-0.970179697749948	0.0963712710822774	3	3	3	3	3	3	3	3
YAL026C	YAL026C	NA	NA	YAL026C	Inf	0	NA	NA	Inf	0	Inf	0	NA	NA	NA	NA	NA	NA	0	2	1	2	0	0	0	0
YAL029C	YAL029C	NA	NA	YAL029C	-1.09605176649655	0.106729139662625	-1.85673230713496	0.0126498042130192	-0.59141486012096	0.318018513742908	-0.859670317524057	0.152241969191301	-0.0395341729237828	0.959610871407369	-0.57167877159917	0.293114729304935	-0.831633507081679	0.167479185868722	3	2	3	3	3	3	2	2
YAL032C	YAL032C	NA	NA	YAL032C	-Inf	0	-Inf	0	-Inf	0	-Inf	0	-1.6457099820507	0.407641402299619	-Inf	0	-Inf	0	1	0	0	0	0	0	2	0
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	-Inf	0	-0.0590932319926857	0.954693783833699	0.115685596036752	0.907712090899742	0.229003783341401	0.86181869141655	-Inf	0	-0.603319952382694	0.555596792056332	-0.46507884628774	0.603806859650554	0	0	1	2	1	2	3	3
YAL035W	YAL035W	NA	NA	YAL035W	-0.190823612321463	0.411741400870951	-0.634150999165892	0.00876088348628654	-1.15135513016234	4.07378774472181e-05	-1.07536057457269	0.000173828243850657	-0.317543553405431	0.14983445210195	-1.38351508080446	4.65387457725582e-06	0.029861737819335	0.909616171179028	3	3	3	3	3	3	3	3
YAL036C	YAL036C	NA	NA	YAL036C	-0.170108119210011	0.571582022454432	-0.953481303257546	0.00247310102883543	-1.32495648506519	8.88812687244787e-05	-0.937570137573926	0.00248312685340725	-0.884704254610116	0.00267516802275138	-1.39001019072713	3.86349037792921e-05	-0.764542845889439	0.0072369899937151	3	3	3	3	3	3	3	3
YAL038W	YAL038W	NA	NA	YAL038W	-0.273188170409707	0.0682095207898094	-0.104354580319002	0.518724588421255	-0.265613293786882	0.0643747021188302	-0.354152164837704	0.0206337405872082	-0.0383464943197122	0.835941831748144	-0.365104078260593	0.00934642786654557	-0.325705123101682	0.028223068244522	3	3	3	3	3	3	3	3
YAL039C	YAL039C	NA	NA	YAL039C	-Inf	0	0.7554648382683	0.231593200909293	0.694428324410405	0.242631402142014	-0.231780156920974	0.758466746571026	0.853962367185805	0.162569067851556	-0.678316674483973	0.211739899022322	-0.522876583074458	0.401595797730645	3	0	2	3	3	3	2	3
YAL041W	YAL041W	NA	NA	YAL041W	-Inf	0	-1.3567313932826	0.133762687902715	-Inf	0	-Inf	0	-1.56275868316217	0.135407691396365	-1.32749075093203	0.121409587179096	-Inf	0	1	0	0	0	1	0	2	2
YAL042W	YAL042W	NA	NA	YAL042W	0.515432753801676	0.607592604981544	0.511575793063607	0.618543477920584	-0.605476129984834	0.520017496730396	-1.22865553360961	0.173932822595201	0.430104047842005	0.68486936299558	-0.455046994271633	0.60139339084532	-0.335779322521689	0.739926673882431	3	3	3	3	3	3	3	3
YAL043C	YAL043C	NA	NA	YAL043C	1.390729573558	0.290211224174111	0.598103693294797	0.670261074475652	0.589619465389117	0.649110121627915	0.635280803318402	0.603404052629566	-0.289940238923909	0.869061305228179	-Inf	0	1.59620391747744	0.224954553709597	1	2	3	2	0	2	1	2
