RawFile	IsotopeLabelType	Condition	BioReplicate	Run
2021-03-03-yj-140min-200nl-Olga-WT-A-B	L	WT	WT-1	1
2021-03-06-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-WTB-B	L	WT	WT-2	2
2021-03-06-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-WTC-A	L	WT	WT-3	3
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-IRA2A-B	L	IRA2	IRA2-1	4
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-IRA2B-A	L	IRA2	IRA2-2	5
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-IRA2C-B	L	IRA2	IRA2-3	6
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RAS21A-B	L	RAS21	RAS21-1	7
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RAS21B-A	L	RAS21	RAS21-2	8
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RAS21C-B	L	RAS21	RAS21-3	9
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RAS22A-A	L	RAS22	RAS22-1	10
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RAS22B-B	L	RAS22	RAS22-2	11
2021-03-03-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RAS22C-A	L	RAS22	RAS22-3	12
2021-03-03-yj-140min-200nl-Olga-POP-A-A	L	POP1	POP1-1	13
2021-03-03-yj-140min-200nl-Olga-POP-B-A	L	POP1	POP1-2	14
2021-03-03-yj-140min-200nl-Olga-POP-C-A	L	POP1	POP1-3	15
2021-03-04-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RPA49A-A	L	RPA49	RPA49-1	16
2021-03-04-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RPA49B-B	L	RPA49	RPA49-2	17
2021-03-04-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-RPA49C-A	L	RPA49	RPA49-3	18
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SAP155A-B	L	SAP155	SAP155-1	19
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SAP155B-B	L	SAP155	SAP155-2	20
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SAP155C-A	L	SAP155	SAP155-3	21
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SIT4A-A	L	SIT4	SIT4-1	22
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SIT4B-A	L	SIT4	SIT4-2	23
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SIT4C-B	L	SIT4	SIT4-3	24
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SSYSA-A	L	SSY5	SSY5-1	25
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SSYSB-B	L	SSY5	SSY5-2	26
2021-03-05-yj-140min-200nl-Olga-Schubert-Leonid-Kruglyak-SSYSC-A	L	SSY5	SSY5-3	27
