ORF,Name,YEPD_mean,YEPD_error,YEPD_cv,YEPD_dm,YEPD_note,SD_mean,SD_error,SD_cv,SD_dm,SD_note
YAL001C,TFC3,,,,,Abundance Low,,,,,Failed QC/Abundance Low
YAL002W,VPS8,,,,,Abundance Low,,,,,Abundance Low
YAL005C,SSA1,32395,1125.661664,25.1,13.09660276,,27461.5,1076.069765,21.07,9.466912107,
YAL007C,ERP2,671.5,35.22171751,18.03,2.057104542,,410.5,30.45111396,16.905,2.516366126,
YAL008W,FUN14,,,,,Abundance Low,,,,,Abundance Low
YAL009W,SPO7,,,,,Abundance Low,,,,,Abundance Low
YAL010C,MDM10,,,,,Abundance Low,,,,,Abundance Low
YAL011W,SWC3,,,,,Abundance Low,,,,,Abundance Low
YAL012W,CYS3,1838,72.57954161,13.225,-0.855090061,,1232.5,60.7059841,10.57,-2.378292468,
YAL014C,SYN8,,,,,Abundance Low,,,,,Abundance Low
YAL015C,NTG1,,,,,Abundance Low,,,,,Abundance Low
YAL016W,TPD3,772.5,38.56398272,13.135,-2.477835722,,740.5,42.38971765,11.895,-1.598934895,
YAL017W,PSK1,,,,,Abundance Low,52.5,22.51331516,,,
YAL019W,FUN30,86.5,21.90456121,24.555,0.022151202,,62,22.68524888,,,
YAL021C,CCR4,312,26.19671381,16.6,-1.433473409,,,,,,Failed QC
YAL023C,PMT2,68.5,21.47866298,24.06,-2.749986479,,58.9174475,21.92160449,17.67,-0.268537499,
YAL024C,LTE1,,,,,Abundance Low,,,,,Abundance Low
YAL026C,DRS2,214.5,24.12862081,19.07,-0.44233817,,113.3188353,23.10462398,17.115,0.280294842,
YAL027W,,,,,,Abundance Low,,,,,Abundance Low
YAL029C,MYO4,112,22.30818861,22.285,-0.480342207,,118,24.37999805,17.425,0.567598176,
YAL031C,FUN21,,,,,Abundance Low,58.5,22.57285775,,,
YAL032C,PRP45,47,21.35693974,,,,,,,,Abundance Low
YAL033W,POP5,295.5,25.8790104,19.04,0.810259418,,302.8396515,27.45751725,13.445,-1.115601157,
YAL034W-A,MTW1,90,21.97345196,,,,,,,,Abundance Low
YAL035W,FUN12,2539,96.0943459,12.715,-0.929849309,,1874,84.63827497,11.475,-1.161741622,
YAL036C,RBG1,823.5,40.06916907,14.055,-1.331371589,,414.5,32.22188582,14.385,0.208149835,
YAL038W,CDC19,11386.5,399.8770764,16.27,3.835239737,,9188,365.8890134,,,
YAL039C,CYC3,49.5,21.23395775,,,,,,,,Abundance Low
YAL041W,CDC24,114.5,22.33619244,20.91,-1.727680745,,131,24.09026928,16.17,-0.156773699,
YAL043C,PTA1,99,22.10444675,19.975,-3.115298237,,84,23.06112256,21.115,2.532874589,
YAL044C,GCV3,495.5,30.74184259,27.82,11.02472183,,2739.626551,115.9658264,13.225,0.879440838,
YAL047C,SPC72,,,,,Abundance Low,,,,,Failed QC/Abundance Low
YAL049C,,,,,,Abundance Low,,,,,Abundance Low
YAL053W,,,,,,Abundance Low,62.254211,21.94646473,16.93,-0.876996608,
YAL054C,ACS1,,,,,Abundance Low,,,,,Abundance Low
YAL055W,PEX22,,,,,Abundance Low,,,,,Abundance Low
YAL056W,GPB2,,,,,Abundance Low,,,,,Abundance Low
YAL058W,CNE1,,,,,Abundance Low,,,,,Abundance Low
YAL059W,ECM1,200.5,23.61849929,21.72,1.698034228,,81,22.30995496,,,
YAL060W,BDH1,536.5,31.8492136,26.25,9.758105906,,1372,65.84919554,19.145,6.285862092,
YAL061W,,47.5,21.36846873,,,,129,24.31387499,24.335,7.566768946,
YAR002C-A,ERP1,1049,46.5786686,12.49,-2.549796313,,538.5,34.41152978,13.195,-0.756259492,
YAR002W,NUP60,174,23.13244204,21.305,0.607849056,,140.5,23.45453518,17.43,-0.287645552,
YAR003W,SWD1,,,,,Abundance Low,,,,,Abundance Low
YAR007C,RFA1,,,,,Failed QC,375.5,30.3316823,,,
YAR009C,,57.5,21.49597398,,,,,,,,Abundance Low
YAR014C,BUD14,185,23.56222016,20.895,0.444493805,,146,24.40826797,16.965,0.487671358,
YAR015W,ADE1,1013,45.91329607,19.56,4.49256294,,2335,102.6473143,11.405,-1.091983748,
YAR019C,CDC15,,,,,Abundance Low,,,,,Abundance Low
YAR027W,UIP3,,,,,Abundance Low,,,,,Abundance Low
YAR028W,,129.5,22.38920879,22.825,0.310794883,,,,,,Abundance Low
YAR044W,,121,22.44426283,21.45,-0.851793252,,133.5,24.1766642,16.545,0.113333333,
YAR071W,PHO11,55,21.46473754,,,,,,,,Abundance Low
YBL001C,ECM15,,,,,Abundance Low,,,,,Abundance Low
YBL002W,HTB2,6460,230.9217125,11.19,-1.628819335,,5540.253801,226.1572694,10.795,-1.226779155,
YBL003C,HTA2,4086,148.4545051,13.94,0.735943258,,4040.540111,167.855617,,,
YBL004W,UTP20,269,25.24983459,19.41,0.763835953,,103.3324775,22.75865515,17.405,0.752721855,
YBL005W,PDR3,,,,,Abundance Low,,,,,Abundance Low
YBL007C,SLA1,585,33.14048273,19.465,3.232960735,,665,39.99989887,12.68,-0.914718667,
YBL008W,HIR1,,,,,Abundance Low,,,,,Abundance Low
YBL010C,,,,,,Abundance Low,,,,,Abundance Low
