# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	5.061061709525424687e-04
17	5.061061709525424687e-04
18	5.061061709525424687e-04
19	5.061061709525424687e-04
20	5.061061709525424687e-04
21	5.061061709525424687e-04
22	5.061061709525424687e-04
23	5.061061709525424687e-04
24	5.061061709525424687e-04
25	5.061061709525424687e-04
26	5.061061709525424687e-04
27	5.061061709525424687e-04
28	5.061061709525424687e-04
29	5.061061709525424687e-04
30	5.061061709525424687e-04
31	5.061061709525424687e-04
32	5.061061709525424687e-04
33	5.061061709525424687e-04
34	5.061061709525424687e-04
35	5.061061709525424687e-04
36	5.061061709525424687e-04
37	5.061061709525424687e-04
38	5.061061709525424687e-04
39	5.061061709525424687e-04
40	5.061061709525424687e-04
41	5.061061709525424687e-04
42	5.061061709525424687e-04
43	5.061061709525424687e-04
44	5.061061709525424687e-04
45	5.061061709525424687e-04
46	5.061061709525424687e-04
47	1.012212341905084937e-03
48	1.012212341905084937e-03
49	1.012212341905084937e-03
50	1.012212341905084937e-03
51	1.012212341905084937e-03
52	1.012212341905084937e-03
53	1.012212341905084937e-03
54	1.012212341905084937e-03
55	1.012212341905084937e-03
56	1.012212341905084937e-03
57	1.012212341905084937e-03
58	5.061061709525424036e-03
59	5.061061709525424687e-04
60	5.061061709525424687e-04
61	5.061061709525424687e-04
62	5.061061709525424687e-04
63	5.061061709525424687e-04
64	5.061061709525424687e-04
65	1.012212341905084937e-03
66	1.012212341905084937e-03
67	7.085486393335594345e-03
68	1.012212341905084937e-03
69	4.048849367620339749e-03
70	2.024424683810169875e-03
71	3.542743196667797172e-03
72	6.579380222383051334e-03
73	1.012212341905084937e-03
74	5.061061709525424687e-04
75	3.036637025715254595e-03
76	1.012212341905084937e-03
77	1.518318512857627298e-03
78	1.012212341905084937e-03
79	1.012212341905084937e-03
80	1.012212341905084937e-03
81	1.012212341905084937e-03
82	1.012212341905084937e-03
83	1.012212341905084937e-03
84	1.012212341905084937e-03
85	1.012212341905084937e-03
86	1.012212341905084937e-03
87	5.061061709525424036e-03
88	2.024424683810169875e-03
89	1.012212341905084937e-03
90	5.061061709525424687e-04
91	6.579380222383051334e-03
92	1.012212341905084937e-03
93	1.012212341905084937e-03
94	0.000000000000000000e+00
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	0.000000000000000000e+00
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	0.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
