# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	4.430110575559965806e-04
36	4.430110575559965806e-04
37	4.430110575559965806e-04
38	4.430110575559965806e-04
39	4.430110575559965806e-04
40	4.430110575559965806e-04
41	4.430110575559965806e-04
42	4.430110575559965806e-04
43	4.430110575559965806e-04
44	4.430110575559965806e-04
45	4.430110575559965806e-04
46	4.430110575559965806e-04
47	4.430110575559965806e-04
48	4.430110575559965806e-04
49	4.430110575559965806e-04
50	4.430110575559965806e-04
51	4.430110575559965806e-04
52	4.430110575559965806e-04
53	4.430110575559965806e-04
54	4.430110575559965806e-04
55	4.430110575559965806e-04
56	4.430110575559965806e-04
57	4.430110575559965806e-04
58	4.430110575559965806e-04
59	4.430110575559965806e-04
60	8.860221151119931611e-04
61	8.860221151119931611e-04
62	8.860221151119931611e-04
63	8.860221151119931611e-04
64	8.860221151119931611e-04
65	8.860221151119931611e-04
66	8.860221151119931611e-04
67	8.860221151119931611e-04
68	8.860221151119931611e-04
69	8.860221151119931611e-04
70	8.860221151119931611e-04
71	8.860221151119931611e-04
72	8.860221151119931611e-04
73	8.860221151119931611e-04
74	8.860221151119931611e-04
75	8.860221151119931611e-04
76	8.860221151119931611e-04
77	8.860221151119931611e-04
78	8.860221151119931611e-04
79	8.860221151119931611e-04
80	8.860221151119931611e-04
81	8.860221151119931611e-04
82	8.860221151119931611e-04
83	1.706035582648142812e+00
84	3.588389566203572384e-02
85	2.480861922313580895e-02
86	1.594839807201587842e-02
87	1.408775163028069266e-01
88	3.544088460447972905e-02
89	2.028990643606464472e-01
90	1.023355542954352132e-01
91	5.493337113694357621e-02
92	2.835270768358378116e-02
93	2.347958605046782110e-02
94	2.702367451091579331e-02
95	2.099872412815423917e-01
96	2.565034023249220252e-01
97	3.322582931669974815e-02
98	2.516302806918060408e-01
99	5.577509214629997603e-01
100	3.087787071165296049e-01
101	4.146583498724127903e-01
102	5.837556705415367198e+00
103	1.280301956336830083e-01
104	1.329033172667989753e-02
105	1.151828749645591142e-02
106	1.151828749645591142e-02
107	6.157853700028352584e-02
108	6.246455911539552375e-01
109	8.064130280691806263e+00
110	4.089435072299404617e+00
111	8.293166997448255806e-01
112	1.338336404876665719e+00
113	2.170754182024383500e-02
114	2.046711085908704264e-01
115	5.249681032038560069e-01
116	4.873121633115962831e-02
117	1.506237595690388363e-02
