category	GOID	GOterm	nall	nset	nhits	nrefs	p	fdr	hits	hits2
Function	GO:0140098	catalytic activity, acting on RNA	4511	29	12	192	1.3e-9	2.03e-7	YDR341C,YGL120C,YHR070W,YJL087C,YKR024C,YLR276C,YMR059W,YMR128W,YNL221C,YNL248C,YNR038W,YOR207C	YDR341C,PRP43,TRM5,TRL1,DBP7,DBP9,SEN15,ECM16,POP1,RPA49,DBP6,RET1
Function	GO:0003824	catalytic activity	4511	29	26	1824	5.48e-8	4.27e-6	YAL035W,YDL047W,YDR062W,YDR226W,YDR341C,YEL058W,YER036C,YGL120C,YHR070W,YHR074W,YJL087C,YJL167W,YJR016C,YKR024C,YLR276C,YLR305C,YLR316C,YMR059W,YMR128W,YMR296C,YNL163C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C	FUN12,SIT4,LCB2,ADK1,YDR341C,PCM1,ARB1,PRP43,TRM5,QNS1,TRL1,ERG20,ILV3,DBP7,DBP9,STT4,TAD3,SEN15,ECM16,LCB1,RIA1,POP1,RPA49,ACC1,DBP6,RET1
Function	GO:0036094	small molecule binding	4511	29	18	777	1e-7	5.22e-6	YAL035W,YDR062W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YMR296C,YNL163C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,LCB2,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,LCB1,RIA1,ACC1,DBP6,RET1,TIF5
Function	GO:0043167	ion binding	4511	29	22	1322	3.26e-7	1.27e-5	YAL035W,YDL047W,YDR062W,YDR226W,YDR341C,YEL058W,YER036C,YGL120C,YHR074W,YJL087C,YJL167W,YJR016C,YKR024C,YLR276C,YLR305C,YMR128W,YMR296C,YNL163C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,SIT4,LCB2,ADK1,YDR341C,PCM1,ARB1,PRP43,QNS1,TRL1,ERG20,ILV3,DBP7,DBP9,STT4,ECM16,LCB1,RIA1,ACC1,DBP6,RET1,TIF5
Function	GO:0097367	carbohydrate derivative binding	4511	29	16	656	4.61e-7	1.44e-5	YAL035W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YNL163C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,RIA1,ACC1,DBP6,RET1,TIF5
Function	GO:0043168	anion binding	4511	29	17	795	1.01e-6	2.62e-5	YAL035W,YDR062W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YMR296C,YNL163C,YNR016C,YNR038W,YPR041W	FUN12,LCB2,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,LCB1,RIA1,ACC1,DBP6,TIF5
Function	GO:0035639	purine ribonucleoside triphosphate binding	4511	29	15	633	1.97e-6	4.39e-5	YAL035W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YNL163C,YNR016C,YNR038W,YPR041W	FUN12,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,RIA1,ACC1,DBP6,TIF5
Function	GO:0032555	purine ribonucleotide binding	4511	29	15	634	2.01e-6	4.39e-5	YAL035W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YNL163C,YNR016C,YNR038W,YPR041W	FUN12,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,RIA1,ACC1,DBP6,TIF5
Function	GO:0008144	drug binding	4511	29	14	597	6.11e-6	8.6700000000000007e-05	YDR062W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YMR296C,YNR016C,YNR038W	LCB2,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,LCB1,ACC1,DBP6
Function	GO:0008186	RNA-dependent ATPase activity	4511	29	5	40	7.58e-6	9.85e-5	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
Function	GO:0003724	RNA helicase activity	4511	29	5	41	8.47e-6	1e-4	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
Function	GO:0005488	binding	4511	29	26	2300	1.27e-5	1.2e-4	YAL035W,YDL047W,YDR062W,YDR226W,YDR341C,YEL058W,YER036C,YGL120C,YHR074W,YJL087C,YJL167W,YJR016C,YKR024C,YLR276C,YLR305C,YMR128W,YMR131C,YMR146C,YMR296C,YNL163C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,SIT4,LCB2,ADK1,YDR341C,PCM1,ARB1,PRP43,QNS1,TRL1,ERG20,ILV3,DBP7,DBP9,STT4,ECM16,RRB1,TIF34,LCB1,RIA1,POP1,RPA49,ACC1,DBP6,RET1,TIF5
Function	GO:1901363	heterocyclic compound binding	4511	29	21	1491	1.8e-5	1.7e-4	YAL035W,YDR062W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YMR146C,YMR296C,YNL163C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,LCB2,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,TIF34,LCB1,RIA1,POP1,RPA49,ACC1,DBP6,RET1,TIF5
Function	GO:0097159	organic cyclic compound binding	4511	29	21	1501	2.02e-5	1.7e-4	YAL035W,YDR062W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YMR146C,YMR296C,YNL163C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,LCB2,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,TIF34,LCB1,RIA1,POP1,RPA49,ACC1,DBP6,RET1,TIF5
Function	GO:0016787	hydrolase activity	4511	29	14	758	9.41e-5	6.9e-4	YAL035W,YDL047W,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YNL163C,YNL221C,YNR038W	FUN12,SIT4,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,TAD3,SEN15,ECM16,RIA1,POP1,DBP6
