# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	1.973814066714915313e-02
56	1.923203449619661359e-02
57	2.277477769286440773e-02
58	3.998238750525084928e-02
59	2.783583940238983437e-02
60	2.328088386381695074e-02
61	1.315876044476610267e-02
62	5.106611264911152803e-01
63	2.530530854762712278e-02
64	3.345867896167257882e+00
65	3.643964430858305514e-02
66	4.474484657391427866e+00
67	3.153547551205291732e+00
68	2.581141471857966233e-02
69	4.200681218906102132e-02
70	3.135935056456143499e+01
71	6.021550000759159360e+01
72	1.372964820560057042e+01
73	3.643964430858305514e-02
74	1.872592832524407058e-02
75	3.340300728286779708e-02
76	1.320937106186135801e-01
77	3.390911345382034009e-02
78	1.730883104657695015e-01
79	2.378699003476949375e-02
80	1.467707895762372997e-02
81	1.700516734400542573e-01
82	1.467707895762372997e-02
83	1.267289852065166311e+00
84	2.884805174429491692e-02
85	1.164044193190847537e-02
86	2.075035300905423916e-02
87	1.057761897290813713e-01
88	1.007151280195559412e-01
89	2.024424683810169615e-02
90	2.419187497153152677e-01
91	6.883043924954576620e-02
92	2.449553867410305397e-01
93	2.783583940238983437e-02
94	2.581141471857966233e-02
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	0.000000000000000000e+00
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	0.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
